symbol,score,vol_score,accum_score,fund_score,current_price,market_cap,sector,industry,max_vol_spike_30d,spike_days_2x,spike_days_3x,vol_trend_ratio,price_30d_return_pct,price_trend,dist_ma200_pct,position_in_52w_range_pct,summary
VVV,100,50,30,20,29.45,4542835200,Consumer Cyclical,Auto & Truck Dealerships,2.62,6,0,1.24,-6.0,dropping,-16.2,1.3,2X spike (6d) | vol trend up | separate spike events | price down + vol up | near 52w low (1% range)
TEL,85,50,20,15,229.68,60188913664,Technology,Electronic Components,2.56,4,0,1.04,-1.6,flat,20.2,85.0,2X spike (4d) | vol trend up | separate spike events | price down + vol up | quiet/consolidating
APD,85,40,30,15,245.48,65782104064,Basic Materials,Specialty Chemicals,3.12,6,1,1.14,-1.7,flat,-8.3,18.7,2X spike (6d) | vol trend up | price down + vol up | near 52w low (19% range) | quiet/consolidating
DOCU,85,50,15,20,69.08,9306558464,Technology,Software - Application,2.92,3,0,1.09,6.8,rising,-9.4,15.8,2X spike (3d) | vol trend up | separate spike events | near 52w low (16% range) | quiet/consolidating
J,85,50,20,15,133.59,13984318464,Industrials,Engineering & Construction,3.71,4,1,1.06,-10.8,dropping,-2.0,46.4,2X spike (4d) | vol trend up | separate spike events | price down + vol up | quiet/consolidating
GIS,85,40,30,15,45.26,18508064768,Consumer Defensive,Packaged Foods,2.54,2,0,1.08,-0.6,flat,-7.8,7.6,2X spike (2d) | vol trend up | price down + vol up | near 52w low (8% range) | quiet/consolidating
COR,85,50,20,15,339.46,50795999232,Healthcare,Medical Distribution,2.32,2,0,1.06,-6.8,dropping,11.5,75.9,2X spike (2d) | vol trend up | separate spike events | price down + vol up | quiet/consolidating
PSA,85,40,30,15,258.5,54601748480,Real Estate,REIT - Industrial,3.84,1,1,1.11,-2.3,flat,-7.5,20.5,2X spike (1d) | vol trend up | price down + vol up | near 52w low (20% range) | quiet/consolidating
DINO,85,50,20,15,45.8,13057350656,Energy,Oil & Gas Refining & Marketing,2.22,2,0,1.16,-15.1,dropping,6.8,69.5,2X spike (2d) | vol trend up | separate spike events | price down + vol up | quiet/consolidating
TSCO,85,40,30,15,50.14,16074380288,Consumer Cyclical,Specialty Retail,3.25,1,1,1.0,-5.8,dropping,-7.1,23.8,2X spike (1d) | vol trend up | price down + vol up | near 52w low (24% range) | quiet/consolidating
DLB,85,50,15,20,65.05,5500880384,Industrials,Specialty Business Services,3.28,2,1,1.13,1.9,flat,-8.9,7.1,2X spike (2d) | vol trend up | separate spike events | near 52w low (7% range) | quiet/consolidating
MDLZ,85,40,30,15,53.84,79008645120,Consumer Defensive,Confectioners,3.27,2,1,1.11,-1.4,flat,-12.4,11.4,2X spike (2d) | vol trend up | price down + vol up | near 52w low (11% range) | quiet/consolidating
AWK,85,50,20,15,130.25,24419829760,Utilities,Utilities - Regulated Water,3.38,3,1,1.1,-1.2,flat,-5.2,41.4,2X spike (3d) | vol trend up | separate spike events | price down + vol up | quiet/consolidating
UWMC,85,40,25,20,4.3,5505906688,Financial Services,Mortgage Finance,4.32,3,2,1.03,-7.9,dropping,-9.3,23.7,2X spike (3d) | vol trend up | price down + vol up | near 52w low (24% range) | rev +24%
WRB,85,50,20,15,70.71,24451135488,Financial Services,Insurance - Property & Casualty,5.75,3,1,1.04,-6.7,dropping,0.4,70.2,2X spike (3d) | vol trend up | separate spike events | price down + vol up | quiet/consolidating
ITT,85,50,20,15,176.32,18520479744,Industrials,Specialty Industrial Machinery,8.77,8,2,1.4,-2.8,flat,9.6,78.2,2X spike (8d) | vol trend up | separate spike events | price down + vol up | quiet/consolidating
LW,85,40,25,20,41.24,5800438272,Consumer Defensive,Packaged Foods,11.24,3,2,1.17,-25.4,dropping,-23.9,2.1,2X spike (3d) | vol trend up | price down + vol up | near 52w low (2% range) | rev +3%
TTD,85,40,30,15,38.12,10850100224,Communication Services,Advertising Agencies,4.53,1,1,1.06,-5.2,dropping,-33.4,2.7,2X spike (1d) | vol trend up | price down + vol up | near 52w low (3% range) | quiet/consolidating
FTNT,85,40,30,15,80.31,83510878208,Technology,Software - Infrastructure,3.59,1,1,1.04,-2.0,flat,-12.1,22.8,2X spike (1d) | vol trend up | price down + vol up | near 52w low (23% range) | quiet/consolidating
HOG,85,50,30,5,20.6,2675920384,Consumer Cyclical,Recreational Vehicles,2.62,4,0,1.23,-12.1,dropping,-16.0,7.3,2X spike (4d) | vol trend up | separate spike events | price down + vol up | near 52w low (7% range)
CF,85,40,30,15,76.52,17670438912,Basic Materials,Agricultural Inputs,2.31,1,0,1.04,-4.7,flat,-8.7,29.1,2X spike (1d) | vol trend up | price down + vol up | near 52w low (29% range) | quiet/consolidating
ESTC,85,40,25,20,76.63,5407927808,Technology,Software - Application,4.63,1,1,1.1,-12.4,dropping,-8.9,16.8,2X spike (1d) | vol trend up | price down + vol up | near 52w low (17% range) | rev +18%
ED,85,50,20,15,99.11,39178391552,Utilities,Utilities - Regulated Electric,3.61,3,1,1.13,-3.0,flat,-0.9,56.1,2X spike (3d) | vol trend up | separate spike events | price down + vol up | quiet/consolidating
PANW,85,50,20,15,186.85,168590688256,Technology,Software - Infrastructure,3.41,3,1,1.14,-7.9,dropping,-2.9,53.7,2X spike (3d) | vol trend up | separate spike events | price down + vol up | quiet/consolidating
OTIS,85,40,30,15,87.61,28709636096,Industrials,Specialty Industrial Machinery,2.7,1,0,1.09,-0.1,flat,-4.4,20.8,2X spike (1d) | vol trend up | price down + vol up | near 52w low (21% range) | quiet/consolidating
UBER,85,50,20,15,82.12,153585942528,Technology,Software - Application,2.86,2,0,1.11,-10.8,dropping,-6.6,52.7,2X spike (2d) | vol trend up | separate spike events | price down + vol up | quiet/consolidating
AFL,85,50,20,15,110.21,57566191616,Financial Services,Insurance - Life,2.94,2,0,1.14,-0.8,flat,4.5,77.3,2X spike (2d) | vol trend up | separate spike events | price down + vol up | quiet/consolidating
SPOT,85,40,30,15,576.68,85914230784,Communication Services,Internet Content & Information,2.53,1,0,1.04,-10.0,dropping,-11.6,39.1,2X spike (1d) | vol trend up | price down + vol up | near 52w low (39% range) | quiet/consolidating
PEP,85,50,20,15,142.88,211356401664,Consumer Defensive,Beverages - Non-Alcoholic,2.44,2,0,1.04,-1.5,flat,3.4,64.5,2X spike (2d) | vol trend up | separate spike events | price down + vol up | quiet/consolidating
ABT,85,50,20,15,124.37,146869682176,Healthcare,Medical Devices,2.46,2,0,1.04,-3.3,flat,-2.8,54.8,2X spike (2d) | vol trend up | separate spike events | price down + vol up | quiet/consolidating
COST,85,40,30,15,863.22,447552225280,Consumer Defensive,Discount Stores,3.95,1,1,1.09,-5.1,dropping,-8.8,9.4,2X spike (1d) | vol trend up | price down + vol up | near 52w low (9% range) | quiet/consolidating
PPL,85,50,20,15,35.07,27010248704,Utilities,Utilities - Regulated Electric,3.86,3,1,1.18,-3.2,flat,0.8,65.9,2X spike (3d) | vol trend up | separate spike events | price down + vol up | quiet/consolidating
CNXC,85,50,15,20,40.79,1480587136,Technology,Information Technology Services,2.08,2,0,1.15,24.6,rising,-13.9,30.5,2X spike (2d) | vol trend up | separate spike events | near 52w low (31% range) | quiet/consolidating
SJM,85,40,30,15,97.44,10584845312,Consumer Defensive,Packaged Foods,2.19,1,0,1.05,-7.6,dropping,-7.1,26.3,2X spike (1d) | vol trend up | price down + vol up | near 52w low (26% range) | quiet/consolidating
GTLB,85,40,25,20,38.16,4386770944,Technology,Software - Infrastructure,4.62,2,1,1.08,-10.5,dropping,-15.7,6.1,2X spike (2d) | vol trend up | price down + vol up | near 52w low (6% range) | rev +23%
UHAL,80,50,15,15,50.87,10034631680,Industrials,Rental & Leasing Services,2.86,2,0,1.17,3.4,flat,-13.1,8.9,2X spike (2d) | vol trend up | separate spike events | near 52w low (9% range) | quiet/consolidating
INSM,80,50,15,15,174.09,21967859712,Healthcare,Biotechnology,7.19,3,3,1.27,-11.8,dropping,39.6,74.6,2X spike (3d) | vol trend up | separate spike events | price down + vol up | rev +230%
LULU,80,50,15,15,210.67,15388871680,Consumer Cyclical,Apparel Retail,3.94,3,2,1.14,28.3,rising,-6.0,19.5,2X spike (3d) | vol trend up | separate spike events | near 52w low (19% range) | quiet/consolidating
COLD,80,50,10,20,12.87,4233941760,Real Estate,REIT - Industrial,2.15,2,0,1.03,22.8,rising,-11.7,26.2,2X spike (2d) | vol trend up | separate spike events | near 52w low (26% range) | rev +0%
IPGP,80,40,20,20,72.83,4434933248,Technology,Semiconductor Equipment & Materials,3.12,1,1,1.08,-4.8,flat,-1.2,55.6,2X spike (1d) | vol trend up | price down + vol up | quiet/consolidating | rev +17%
NKE,80,40,25,15,60.79,65366351872,Consumer Cyclical,Footwear & Accessories,6.61,4,1,1.16,-2.1,flat,-7.4,33.7,2X spike (4d) | vol trend up | price down + vol up | near 52w low (34% range) | rev +0%
INSP,80,50,10,20,92.57,1275270016,Healthcare,Medical Devices,4.74,6,3,1.25,9.1,rising,-20.5,15.0,2X spike (6d) | vol trend up | separate spike events | near 52w low (15% range) | rev +2%
TPL,80,40,25,15,292.35,27189721088,Energy,Oil & Gas E&P,3.0,1,1,1.1,-8.1,dropping,-15.7,10.9,2X spike (1d) | vol trend up | price down + vol up | near 52w low (11% range) | rev +21%
EFX,80,50,15,15,220.18,21211181056,Industrials,Consulting Services,2.78,2,0,1.04,8.0,rising,-8.3,27.4,2X spike (2d) | vol trend up | separate spike events | near 52w low (27% range) | quiet/consolidating
MSI,80,50,15,15,382.93,63740641280,Technology,Communication Equipment,3.66,2,1,1.22,2.0,flat,-9.0,18.9,2X spike (2d) | vol trend up | separate spike events | near 52w low (19% range) | quiet/consolidating
MSTR,80,40,25,15,155.61,65740513280,Technology,Software - Application,2.89,2,0,1.26,-20.4,dropping,-51.6,0.5,2X spike (2d) | vol trend up | price down + vol up | near 52w low (0% range) | rev +12%
NOW,80,40,25,15,154.23,94034665472,Technology,Software - Application,3.77,3,2,1.13,-7.7,dropping,-15.0,17.8,2X spike (3d) | vol trend up | price down + vol up | near 52w low (18% range) | rev +22%
HHH,80,40,20,20,80.16,3921508864,Real Estate,Real Estate - Development,3.53,2,1,1.07,-3.5,flat,6.7,63.2,2X spike (2d) | vol trend up | price down + vol up | quiet/consolidating | rev +18%
OKE,80,50,15,15,71.96,53653598208,Energy,Oil & Gas Midstream,2.16,2,0,1.01,7.2,rising,-3.5,23.6,2X spike (2d) | vol trend up | separate spike events | near 52w low (24% range) | quiet/consolidating
RVTY,80,50,15,15,97.29,11292136448,Healthcare,Diagnostics & Research,9.05,2,1,1.08,7.0,rising,3.2,34.5,2X spike (2d) | vol trend up | separate spike events | near 52w low (35% range) | quiet/consolidating
NNN,80,40,20,20,38.72,8439409152,Real Estate,REIT - Retail,2.43,1,0,1.06,-2.9,flat,-2.5,63.9,2X spike (1d) | vol trend up | price down + vol up | quiet/consolidating | rev +4%
SLM,80,50,10,20,27.02,4237684480,Financial Services,Credit Services,6.56,3,1,1.02,1.6,flat,-7.8,33.0,2X spike (3d) | vol trend up | separate spike events | near 52w low (33% range) | rev +2%
BBWI,80,50,25,5,20.02,3973276928,Consumer Cyclical,Specialty Retail,5.3,5,2,1.25,-4.7,flat,-24.5,22.3,2X spike (5d) | vol trend up | separate spike events | price down + vol up | near 52w low (22% range)
ADBE,80,50,15,15,352.51,102278766592,Technology,Software - Application,2.38,2,0,1.08,8.4,rising,-2.9,26.6,2X spike (2d) | vol trend up | separate spike events | near 52w low (27% range) | quiet/consolidating
AVB,80,50,15,15,181.23,25607749632,Real Estate,REIT - Residential,2.2,2,0,1.07,4.2,flat,-3.9,31.7,2X spike (2d) | vol trend up | separate spike events | near 52w low (32% range) | quiet/consolidating
OKTA,80,50,15,15,87.43,14711567360,Technology,Software - Infrastructure,3.16,3,2,1.2,7.8,rising,-9.6,23.6,2X spike (3d) | vol trend up | separate spike events | near 52w low (24% range) | quiet/consolidating
CPRT,80,50,30,0,39.5,32694685696,Industrials,Specialty Business Services,2.92,3,0,1.1,-4.4,flat,-18.6,5.1,2X spike (3d) | vol trend up | separate spike events | price down + vol up | near 52w low (5% range)
MTN,80,50,25,5,130.97,4469097472,Consumer Cyclical,Resorts & Casinos,3.18,2,1,1.23,-3.2,flat,-8.9,16.1,2X spike (2d) | vol trend up | separate spike events | price down + vol up | near 52w low (16% range)
BNTX,80,50,30,0,95.28,23802730496,Healthcare,Biotechnology,3.27,4,2,1.3,-7.2,dropping,-7.1,29.3,2X spike (4d) | vol trend up | separate spike events | price down + vol up | near 52w low (29% range)
HD,80,50,30,0,344.05,316188983296,Consumer Cyclical,Home Improvement Retail,3.27,2,1,1.25,-2.6,flat,-6.2,25.1,2X spike (2d) | vol trend up | separate spike events | price down + vol up | near 52w low (25% range)
RDW,80,50,10,20,7.94,2202030080,Industrials,Aerospace & Defense,4.35,4,2,1.16,45.2,rising,-25.6,14.1,2X spike (4d) | vol trend up | separate spike events | near 52w low (14% range) | rev +58%
FFIV,80,50,15,15,259.37,19974107136,Technology,Software - Infrastructure,3.34,4,3,1.09,13.4,rising,-9.1,29.1,2X spike (4d) | vol trend up | separate spike events | near 52w low (29% range) | quiet/consolidating
ARE,80,50,25,5,47.99,8061705728,Real Estate,REIT - Office,3.1,5,2,1.02,-2.7,flat,-30.5,9.6,2X spike (5d) | vol trend up | separate spike events | price down + vol up | near 52w low (10% range)
LINE,80,50,15,15,34.41,10019884032,Real Estate,REIT - Industrial,3.99,5,4,1.3,5.5,rising,-16.5,11.1,2X spike (5d) | vol trend up | separate spike events | near 52w low (11% range) | quiet/consolidating
DKS,75,40,20,15,197.69,20198457344,Consumer Cyclical,Specialty Retail,4.42,1,1,1.3,-4.2,flat,-2.8,41.6,2X spike (1d) | vol trend up | price down + vol up | quiet/consolidating | rev +60%
ALNY,75,40,20,15,397.25,39392882688,Healthcare,Biotechnology,10.31,1,1,1.15,-13.7,dropping,7.2,66.1,2X spike (1d) | vol trend up | price down + vol up | quiet/consolidating | rev +96%
GD,75,40,20,15,336.53,93712171008,Industrials,Aerospace & Defense,2.45,1,0,1.02,-0.7,flat,10.7,83.2,2X spike (1d) | vol trend up | price down + vol up | quiet/consolidating | rev +10%
VLO,75,40,20,15,163.86,71578615808,Energy,Oil & Gas Refining & Marketing,2.41,1,0,1.15,-7.0,dropping,13.3,77.7,2X spike (1d) | vol trend up | price down + vol up | quiet/consolidating | rev +7%
AGCO,75,50,5,20,104.51,8496416256,Industrials,Farm & Heavy Construction Machinery,2.08,2,0,1.01,2.0,flat,1.5,66.6,2X spike (2d) | vol trend up | separate spike events | quiet/consolidating | rev +14%
NEU,75,50,20,5,694.37,6299814912,Basic Materials,Specialty Chemicals,2.81,2,0,1.16,-5.9,dropping,-1.0,56.4,2X spike (2d) | vol trend up | separate spike events | price down + vol up | quiet/consolidating
RPRX,75,40,20,15,38.79,29246517248,Healthcare,Biotechnology,2.45,1,0,1.11,-0.4,flat,10.3,87.7,2X spike (1d) | vol trend up | price down + vol up | quiet/consolidating | rev +11%
TDG,75,40,20,15,1316.45,67963777024,Industrials,Aerospace & Defense,2.28,2,0,1.01,-1.4,flat,-0.8,50.7,2X spike (2d) | vol trend up | price down + vol up | quiet/consolidating | rev +18%
RLI,75,40,15,20,64.4,4509575168,Financial Services,Insurance - Property & Casualty,3.77,1,1,1.13,5.8,rising,-3.2,35.5,2X spike (1d) | vol trend up | near 52w low (36% range) | quiet/consolidating | rev +4%
UHS,75,40,20,15,224.84,10288758784,Healthcare,Medical Care Facilities,2.08,1,0,1.08,-0.6,flat,16.7,77.6,2X spike (1d) | vol trend up | price down + vol up | quiet/consolidating | rev +10%
