symbol,run_start_date,run_start_price,peak_price,peak_date,peak_return_pct,price_30d_after_peak,price_90d_after_peak,sector,industry,market_cap_at_start
CROX,2020-03-19,11.5,84.8,2021-03-15,637.39,97.82,131.93,Consumer Cyclical,Footwear & Accessories,5149338112
BILI,2020-02-05,23.26,142.57,2021-02-04,512.94,108.86,111.11,Communication Services,Internet Content & Information,9190717440
CAR,2020-03-19,9.197,68.4457,2021-03-15,644.21,83.809,73.8518,Industrials,Rental & Leasing Services,5148616192
CAR,2020-11-05,30.698,339.3498,2021-11-02,1005.45,215.2563,202.5059,Industrials,Rental & Leasing Services,5148616192
CHRD,2019-11-21,1.6023,19.1779,2020-11-20,1096.91,25.8407,38.1036,Energy,Oil & Gas E&P,7681460736
CHRD,2020-05-26,0.3279,54.0059,2021-05-24,16371.25,63.5993,65.0362,Energy,Oil & Gas E&P,7681460736
OVV,2020-03-12,2.2316,24.7956,2021-03-12,1011.13,20.0916,24.248,Energy,Oil & Gas E&P,16385290240
W,2020-03-12,33.0,342.4,2020-08-26,937.58,304.07,241.93,Consumer Cyclical,Internet Retail,8746088448
QXO,2020-06-29,11.4519,71.505,2021-06-28,524.39,49.5125,38.4324,Industrials,Industrial Distribution,13599647744
QXO,2022-12-29,18.678,114.0341,2023-12-29,510.53,98.1053,99.0384,Industrials,Industrial Distribution,13599647744
QXO,2023-07-03,21.6538,235.61,2024-06-10,988.08,123.96,15.42,Industrials,Industrial Distribution,13599647744
BTBT,2019-08-07,0.597,4.9,2020-08-06,720.77,4.45,6.02,Financial Services,Capital Markets,587838976
BTBT,2020-02-06,0.4,29.27,2021-01-04,7217.5,26.66,9.5,Financial Services,Capital Markets,587838976
BTBT,2020-08-13,4.1,29.27,2021-01-04,613.9,26.66,9.5,Financial Services,Capital Markets,587838976
BTBT,2022-12-09,0.75,4.59,2023-07-03,512.0,3.25,2.1,Financial Services,Capital Markets,587838976
MSTR,2020-02-12,14.984,127.294,2021-02-09,749.53,62.157,64.646,Technology,Software - Application,65740513280
MSTR,2020-08-12,13.704,127.294,2021-02-09,828.88,62.157,64.646,Technology,Software - Application,65740513280
MSTR,2023-03-08,23.272,142.559,2024-03-08,512.58,132.401,155.516,Technology,Software - Application,65740513280
MSTR,2023-10-12,32.36,212.59,2024-10-11,556.95,421.88,282.76,Technology,Software - Application,65740513280
CLSK,2020-01-07,5.1,35.2,2021-01-06,590.2,36.31,14.66,Financial Services,Capital Markets,3631691264
CLSK,2020-07-08,3.1,40.39,2021-01-07,1202.9,29.98,15.48,Financial Services,Capital Markets,3631691264
CLSK,2022-12-30,2.04,13.43,2023-12-27,558.33,13.95,16.54,Financial Services,Capital Markets,3631691264
CLSK,2023-09-28,3.86,23.4,2024-03-25,506.22,16.54,13.48,Financial Services,Capital Markets,3631691264
MRNA,2019-07-24,14.47,94.85,2020-07-17,555.49,67.49,101.03,Healthcare,Biotechnology,21565333504
MRNA,2020-01-23,21.47,169.86,2020-12-08,691.15,131.02,156.78,Healthcare,Biotechnology,21565333504
MRNA,2020-08-13,67.83,484.47,2021-08-09,614.24,434.04,283.28,Healthcare,Biotechnology,21565333504
FCX,2020-03-19,5.347,35.4731,2021-02-22,563.41,32.6133,34.6465,Basic Materials,Copper,88623775744
APP,2023-11-13,41.41,290.01,2024-11-08,600.34,344.82,339.72,Communication Services,Advertising Agencies,157404463104
APP,2024-05-15,84.06,510.13,2025-02-14,506.86,264.97,347.45,Communication Services,Advertising Agencies,157404463104
HOOD,2024-08-07,17.12,114.63,2025-08-08,569.57,124.89,119.4,Financial Services,Capital Markets,69365907456
SMCI,2022-06-23,4.165,26.166,2023-06-09,528.24,32.135,28.503,Technology,Computer Hardware,21239044096
SMCI,2023-01-23,7.375,47.019,2024-01-24,537.55,115.976,77.059,Technology,Computer Hardware,21239044096
AMC,2020-03-12,29.1,199.0,2021-01-27,583.85,102.8,550.0,Communication Services,Entertainment,1112625920
AMC,2020-09-10,59.4,625.5,2021-06-02,953.03,360.0,371.9,Communication Services,Entertainment,1112625920
AMC,2021-03-26,102.4,625.5,2021-06-02,510.84,360.0,371.9,Communication Services,Entertainment,1112625920
LC,2020-09-09,4.99,32.16,2021-09-07,544.49,33.86,24.43,Financial Services,Banks - Regional,1919439360
UPST,2020-12-16,29.47,390.0,2021-10-15,1223.38,212.51,131.55,Financial Services,Credit Services,2771806976
LAD,2020-03-19,65.7546,399.9161,2021-03-17,508.19,374.0643,360.0349,Consumer Cyclical,Auto & Truck Dealerships,6704683008
CELH,2019-08-21,1.39,8.46,2020-08-19,508.63,7.31,13.96,Consumer Defensive,Beverages - Non-Alcoholic,8254627328
CELH,2020-02-21,2.1333,23.1933,2021-01-19,987.19,19.2533,21.8833,Consumer Defensive,Beverages - Non-Alcoholic,8254627328
PENN,2020-03-12,15.43,130.97,2021-03-11,748.8,89.74,69.35,Consumer Cyclical,Resorts & Casinos,2240537856
QBTS,2023-05-03,0.46,2.91,2023-07-19,532.61,1.19,0.86,Technology,Computer Hardware,8360524288
QBTS,2023-12-14,1.02,7.23,2024-12-16,608.82,5.94,7.0,Technology,Computer Hardware,8360524288
QBTS,2024-06-17,1.19,19.04,2025-05-22,1500.0,15.99,25.63,Technology,Computer Hardware,8360524288
QBTS,2024-12-16,7.23,44.78,2025-10-15,519.36,22.41,,Technology,Computer Hardware,8360524288
Z,2020-03-19,26.32,199.9,2021-02-16,659.5,123.76,121.18,Communication Services,Internet Content & Information,9479259136
ZM,2019-09-25,79.6,500.53,2020-09-23,528.81,483.7,391.84,Technology,Software - Application,32188723200
AA,2020-05-15,6.3511,39.4034,2021-05-11,520.42,33.4147,46.5651,Basic Materials,Aluminum,16672562176
SMMT,2020-02-12,1.5,11.19,2021-02-08,646.0,5.5,6.67,Healthcare,Biotechnology,14033019904
SMMT,2022-11-22,0.9,5.41,2023-01-04,501.11,2.2,1.83,Healthcare,Biotechnology,14033019904
SMMT,2023-06-02,1.81,10.92,2024-05-30,503.31,9.47,19.69,Healthcare,Biotechnology,14033019904
SMMT,2023-12-01,2.13,31.93,2024-09-13,1399.06,21.26,23.76,Healthcare,Biotechnology,14033019904
BBWI,2020-04-02,7.35,45.5266,2021-03-30,519.41,46.9242,55.3633,Consumer Cyclical,Specialty Retail,3973276928
DJT,2021-09-30,9.95,97.54,2022-03-04,880.3,47.6,29.74,Communication Services,Internet Content & Information,2473197824
HIMS,2024-02-20,9.61,68.74,2025-02-19,615.3,31.22,49.85,Healthcare,Drug Manufacturers - Specialty & Generic,6532378112
VRT,2023-03-27,13.1451,82.4618,2024-03-26,527.32,97.434,67.5779,Industrials,Electrical Equipment & Parts,130585468928
CZR,2020-03-12,15.48,100.75,2021-03-11,550.84,95.74,91.3,Consumer Cyclical,Resorts & Casinos,5711101440
BITF,2020-01-13,0.4331,3.3501,2021-01-12,673.5,4.7,4.16,Financial Services,Capital Markets,1199686528
BITF,2020-07-14,0.2822,6.4036,2021-02-22,2169.09,5.32,3.94,Financial Services,Capital Markets,1199686528
BITF,2022-12-21,0.4377,2.99,2023-12-22,583.12,2.28,1.82,Financial Services,Capital Markets,1199686528
AEHR,2020-09-09,1.38,10.7,2021-09-09,675.36,21.85,12.67,Technology,Semiconductor Equipment & Materials,3058200064
AEHR,2021-03-11,2.55,25.72,2021-11-05,908.63,15.38,10.77,Technology,Semiconductor Equipment & Materials,3058200064
AEHR,2022-07-05,7.17,44.24,2023-07-03,517.02,43.63,23.74,Technology,Semiconductor Equipment & Materials,3058200064
BNTX,2019-10-10,14.0539,102.8083,2020-07-22,631.53,61.1797,108.5522,Healthcare,Biotechnology,23802730496
BNTX,2020-08-12,68.2066,441.3838,2021-08-09,547.13,336.8879,283.2977,Healthcare,Biotechnology,23802730496
BILL,2020-03-18,29.21,192.0,2021-02-10,557.31,145.61,181.23,Technology,Software - Application,4139515392
PLUG,2019-08-21,2.2,13.67,2020-08-20,521.36,14.14,32.46,Industrials,Electrical Equipment & Parts,4351855616
PLUG,2020-02-21,5.57,73.18,2021-01-26,1213.82,42.83,30.58,Industrials,Electrical Equipment & Parts,4351855616
PLUG,2020-09-03,11.55,73.18,2021-01-26,533.59,42.83,30.58,Industrials,Electrical Equipment & Parts,4351855616
LCID,2020-10-23,96.3,580.5,2021-02-18,502.8,237.8,270.0,Consumer Cyclical,Auto Manufacturers,2474228224
PR,2020-03-12,0.5377,5.027,2021-03-12,834.96,3.567,5.027,Energy,Oil & Gas E&P,16989492224
PR,2020-09-10,0.4511,6.4083,2021-06-25,1320.54,4.0828,6.5657,Energy,Oil & Gas E&P,16989492224
MTDR,2020-03-12,1.8656,24.6505,2021-03-05,1221.29,22.5873,31.102,Energy,Oil & Gas E&P,6863340544
MTDR,2020-10-29,6.382,42.187,2021-10-26,561.03,38.5159,50.1731,Energy,Oil & Gas E&P,6863340544
DDS,2020-06-15,20.5807,139.4087,2021-06-09,577.37,143.8828,159.7738,Consumer Cyclical,Department Stores,8796315648
DDS,2020-12-11,39.8509,319.1351,2021-11-23,700.82,207.537,222.0936,Consumer Cyclical,Department Stores,8796315648
PLTR,2024-02-02,17.02,103.83,2025-02-04,510.05,86.1,137.4,Technology,Software - Infrastructure,330349608960
PLTR,2024-08-05,24.09,182.2,2025-08-07,656.33,182.39,183.25,Technology,Software - Infrastructure,330349608960
IONQ,2022-12-28,3.12,19.86,2023-08-01,536.54,18.69,13.2,Technology,Computer Hardware,18379812864
IONQ,2024-04-10,8.0,51.07,2025-01-06,538.37,33.75,34.99,Technology,Computer Hardware,18379812864
IONQ,2024-10-09,9.54,82.09,2025-10-13,760.48,46.76,,Technology,Computer Hardware,18379812864
RH,2020-04-02,89.11,600.0,2021-03-30,573.33,625.01,674.99,Consumer Cyclical,Specialty Retail,2530623744
RDW,2024-01-17,2.71,18.09,2025-01-03,567.53,21.72,12.93,Industrials,Aerospace & Defense,2202030080
ZG,2020-03-19,25.0,203.79,2021-02-16,715.16,126.56,121.87,Communication Services,Internet Content & Information,9595947008
TSLA,2019-07-17,16.9907,103.0673,2020-07-15,506.61,143.5447,166.4233,Consumer Cyclical,Auto Manufacturers,1608764358656
TSLA,2020-01-15,34.5667,293.34,2021-01-08,748.62,232.9467,187.82,Consumer Cyclical,Auto Manufacturers,1608764358656
ASTS,2023-08-21,3.9,38.6,2024-08-19,889.74,24.105,24.68,Technology,Communication Equipment,29123674112
ASTS,2024-02-21,3.16,38.6,2024-08-19,1121.52,24.105,24.68,Technology,Communication Equipment,29123674112
NIO,2019-08-28,2.84,20.44,2020-08-26,619.72,21.44,53.2,Consumer Cyclical,Auto Manufacturers,14658152448
NIO,2020-02-28,4.13,62.84,2021-02-09,1421.55,36.96,46.91,Consumer Cyclical,Auto Manufacturers,14658152448
RUN,2020-01-14,15.27,96.5,2021-01-08,531.96,60.33,41.89,Technology,Solar,3485204992
ENPH,2019-01-02,4.92,34.83,2019-08-21,607.93,22.42,25.37,Technology,Solar,4804045312
ENPH,2019-11-01,18.83,116.14,2020-10-20,516.78,127.93,171.69,Technology,Solar,4804045312
ROKU,2020-03-19,74.12,469.7,2021-02-16,533.7,311.96,423.58,Communication Services,Entertainment,19130771456
XYZ,2020-03-19,40.0,276.57,2021-02-19,591.43,229.95,248.87,Technology,Software - Infrastructure,44549296128
SNAP,2020-03-12,10.42,70.45,2021-02-23,576.1,60.23,67.66,Communication Services,Internet Content & Information,10075538432
PDD,2020-03-12,32.81,202.82,2021-02-17,518.17,133.88,127.6,Consumer Cyclical,Internet Retail,140603097088
BE,2019-10-10,3.37,22.92,2020-10-09,580.12,18.67,32.04,Industrials,Electrical Equipment & Parts,74248380416
BE,2020-04-13,5.94,42.65,2021-02-08,618.01,26.58,24.89,Industrials,Electrical Equipment & Parts,74248380416
BE,2024-09-11,10.64,67.29,2025-09-11,532.42,101.42,,Industrials,Electrical Equipment & Parts,74248380416
QS,2020-08-17,9.9,131.67,2020-12-22,1230.0,44.9,34.71,Consumer Cyclical,Auto Parts,4638194176
SOUN,2023-12-07,2.11,15.06,2024-12-09,613.74,15.84,8.14,Technology,Software - Application,3785347072
SOUN,2024-06-25,3.92,24.23,2024-12-26,518.11,13.805,9.74,Technology,Software - Application,3785347072
HUT,2020-02-05,4.92,31.95,2021-01-08,549.39,40.85,19.885,Financial Services,Capital Markets,11086016512
HUT,2020-08-05,4.975,51.95,2021-02-22,944.22,37.5,22.0,Financial Services,Capital Markets,11086016512
PSKY,2020-03-12,13.7138,84.2118,2021-03-12,514.07,37.0943,36.8419,Communication Services,Entertainment,12411629568
FCEL,2019-06-11,12.0,101.1,2020-06-10,742.5,79.2,69.9,Industrials,Electrical Equipment & Parts,725796736
FCEL,2019-12-09,15.3,306.0,2020-11-30,1900.0,574.2,341.7,Industrials,Electrical Equipment & Parts,725796736
FCEL,2020-06-10,101.1,838.8,2021-02-09,729.67,375.0,264.0,Industrials,Electrical Equipment & Parts,725796736
GME,2020-01-14,1.1775,7.85,2021-01-13,566.67,25.435,45.0025,Consumer Cyclical,Specialty Retail,10886549504
GME,2020-07-15,1.0475,86.8775,2021-01-27,8193.79,65.0,70.0025,Consumer Cyclical,Specialty Retail,10886549504
GME,2021-01-13,7.85,86.8775,2021-01-27,1006.72,65.0,70.0025,Consumer Cyclical,Specialty Retail,10886549504
PINS,2020-03-18,10.92,89.15,2021-02-16,716.39,69.31,76.28,Communication Services,Internet Content & Information,11914546176
AXSM,2019-01-02,2.68,106.24,2019-12-26,3864.18,92.35,90.36,Healthcare,Biotechnology,11186324480
MARA,2019-12-20,0.96,11.5,2020-12-21,1097.92,22.8,36.22,Financial Services,Capital Markets,4932692480
MARA,2020-06-23,1.1,56.56,2021-04-05,5041.82,22.36,35.18,Financial Services,Capital Markets,4932692480
MARA,2020-12-21,11.5,76.09,2021-11-09,561.65,34.13,27.63,Financial Services,Capital Markets,4932692480
MARA,2022-12-23,3.62,31.07,2023-12-27,758.29,23.89,20.21,Financial Services,Capital Markets,4932692480
CLOV,2024-03-15,0.798,4.82,2025-01-24,504.01,3.39,3.08,Healthcare,Healthcare Plans,1640290432
