symbol,score,vol_score,accum_score,fund_score,current_price,market_cap,sector,rev_growth_pct,short_pct,max_vol_spike,spike_days,price_30d_ret,price_trend,position_in_range
GWRE,80,40,25,15,202.52,11770904576,Technology,24.0,6.0,2.62,5,-6.6,dropping,34.8
RARE,80,35,30,15,22.78,2572538624,Healthcare,-2.2,12.7,11.97,2,-30.0,dropping,15.6
DLB,80,40,15,25,65.05,5500880384,Industrials,7.1,9.1,3.28,2,1.9,flat,7.1
NFLX,80,40,30,10,93.78,368402759680,Communication Services,16.2,1.9,3.42,3,-15.0,dropping,22.4
FTNT,80,35,30,15,80.31,83510878208,Technology,20.1,3.2,3.59,1,-2.0,flat,22.8
HOG,80,40,25,15,20.6,2675920384,Consumer Cyclical,-11.8,19.0,2.62,4,-12.1,dropping,7.3
ESTC,80,35,30,15,76.63,5407927808,Technology,17.7,5.1,4.63,1,-12.4,dropping,16.8
POST,80,35,25,20,99.35,4625169920,Consumer Defensive,4.7,13.5,2.86,3,-6.2,dropping,17.3
INO,80,40,30,10,1.76,119124256,Healthcare,-100.0,17.9,4.11,2,-11.1,dropping,27.4
COST,80,35,30,15,863.22,447552225280,Consumer Defensive,21.5,1.5,3.95,1,-5.1,dropping,9.4
TYL,80,40,30,10,458.13,13686712320,Technology,8.6,4.5,4.03,2,-1.1,flat,5.8
TFX,80,35,15,30,121.27,5890594304,Healthcare,32.3,8.4,4.75,2,17.1,rising,23.7
AZO,75,40,25,10,3398.85,57924251648,Consumer Cyclical,8.2,2.3,2.74,2,-11.8,dropping,19.3
LNG,75,40,25,10,192.93,50455973888,Energy,8.3,2.2,2.33,2,-10.1,dropping,10.5
BIRK,75,35,15,25,41.25,7234864128,Consumer Cyclical,11.1,16.1,4.78,3,4.4,flat,12.6
INSM,75,40,20,15,174.09,21967859712,Healthcare,229.6,7.2,7.19,3,-11.8,dropping,74.6
TMUS,75,35,30,10,202.82,209547296768,Communication Services,10.6,3.8,3.57,1,-5.1,dropping,12.4
WELL,75,40,20,15,187.34,151510417408,Real Estate,38.3,2.8,4.87,2,-4.7,flat,76.1
EQIX,75,40,25,10,765.54,105733079040,Real Estate,12.1,2.1,2.66,2,-0.3,flat,31.7
KMB,75,35,25,15,100.33,32633055232,Consumer Defensive,2.7,13.2,2.08,1,-0.8,flat,7.4
INSP,75,40,15,20,92.57,1275270016,Healthcare,1.6,13.1,4.74,6,9.1,rising,15.0
CPB,75,35,25,15,27.16,6213372928,Consumer Defensive,-4.5,24.1,2.93,2,-8.7,dropping,2.9
MOS,75,35,25,15,23.95,7053017600,Basic Materials,5.6,7.7,2.38,4,-0.6,flat,14.9
CDW,75,35,30,10,137.7,13387283456,Technology,9.2,5.3,8.67,1,-0.9,flat,4.0
APD,75,35,30,10,245.48,65782104064,Basic Materials,8.8,1.7,3.12,6,-1.7,flat,18.7
DOCU,75,40,10,25,69.08,9306558464,Technology,7.8,10.2,2.92,3,6.8,rising,15.8
J,75,40,20,15,133.59,13984318464,Industrials,27.0,4.3,3.71,4,-10.8,dropping,46.4
RVTY,75,40,15,20,97.29,11292136448,Healthcare,7.0,11.2,9.05,2,7.0,rising,34.5
BLNK,75,35,30,10,0.64,121431416,Industrials,-3.4,12.2,4.81,5,-54.0,dropping,0.7
GIS,75,35,25,15,45.26,18508064768,Consumer Defensive,2.2,9.7,2.54,2,-0.6,flat,7.6
SLM,75,40,15,20,27.02,4237684480,Financial Services,2.5,14.9,6.56,3,1.6,flat,33.0
BBWI,75,40,30,5,20.02,3973276928,Consumer Cyclical,-2.3,7.4,5.3,5,-4.7,flat,22.3
MDLZ,75,35,30,10,53.84,79008645120,Consumer Defensive,8.2,3.2,3.27,2,-1.4,flat,11.4
ITT,75,40,20,15,176.32,18520479744,Industrials,32.7,6.5,8.77,8,-2.8,flat,78.2
LW,75,35,30,10,41.24,5800438272,Consumer Defensive,2.9,5.8,11.24,3,-25.4,dropping,2.1
PG,75,40,25,10,141.97,340953464832,Consumer Defensive,7.4,1.2,2.29,2,-1.2,flat,15.4
HRB,75,35,15,25,42.97,4685057024,Consumer Cyclical,5.3,19.0,3.1,1,0.5,flat,11.7
LAKE,75,35,30,10,8.49,104885960,Consumer Cyclical,-1.7,20.2,14.41,9,-41.8,dropping,3.7
ZG,75,35,15,25,69.34,9595947008,Communication Services,18.4,13.2,4.03,2,3.3,flat,37.8
MHK,75,35,15,25,109.68,6328764928,Consumer Cyclical,8.0,11.1,14.1,1,5.5,rising,28.7
ARE,75,40,30,5,47.99,8061705728,Real Estate,-11.5,5.9,3.1,5,-2.7,flat,9.6
CNXC,75,40,10,25,40.79,1480587136,Technology,5.4,20.7,2.08,2,24.6,rising,30.5
XP,70,40,15,15,16.54,9904706560,Financial Services,13.3,4.4,2.65,2,-7.7,dropping,59.9
ALNY,70,35,20,15,397.25,39392882688,Healthcare,96.4,5.0,10.31,1,-13.7,dropping,66.1
CVNA,70,40,5,25,85.91,61884190720,Consumer Cyclical,52.0,13.5,9.74,2,32.9,rising,83.5
COLD,70,40,10,20,12.87,4233941760,Real Estate,0.3,10.4,2.15,2,22.8,rising,26.2
OGE,70,40,20,10,42.23,9771824128,Utilities,0.7,5.5,4.96,2,-3.5,flat,52.4
UAA,70,40,15,15,5.14,2738472704,Consumer Cyclical,-5.2,28.2,4.1,2,20.7,rising,22.0
KR,70,35,30,5,62.37,41540218880,Consumer Defensive,1.2,4.9,3.31,1,-5.2,dropping,33.3
NKE,70,35,30,5,60.79,65366351872,Consumer Cyclical,0.1,5.9,6.61,4,-2.1,flat,33.7
TFSL,70,40,5,25,13.12,4234525184,Financial Services,9.8,15.4,3.13,3,2.8,flat,70.4
BJ,70,35,25,10,90.09,11871565824,Consumer Defensive,5.6,7.1,2.22,2,-2.8,flat,9.9
CHH,70,40,10,20,95.73,4848909824,Consumer Cyclical,3.5,32.5,2.23,3,4.6,flat,16.9
VTR,70,35,20,15,77.87,42423173120,Real Estate,21.9,4.5,3.88,1,-0.2,flat,88.5
CLX,70,40,25,5,98.46,11144112128,Consumer Defensive,0.1,7.8,2.44,2,-0.4,flat,6.7
WSC,70,40,15,15,18.94,5085950464,Industrials,-6.1,23.0,3.41,3,17.3,rising,17.0
OSCR,70,25,15,30,14.51,5666371584,Healthcare,52.6,10.7,3.89,1,1.8,flat,26.3
PSA,70,35,30,5,258.5,54601748480,Real Estate,3.2,5.2,3.84,1,-2.3,flat,20.5
APT,70,40,25,5,4.35,65797044,Industrials,0.3,1.1,2.98,2,-4.2,flat,13.6
TSCO,70,35,30,5,50.14,16074380288,Consumer Cyclical,3.6,6.0,3.25,1,-5.8,dropping,23.8
OMC,70,40,5,25,79.93,21962577920,Communication Services,69.2,10.6,3.04,5,11.6,rising,71.7
TAP,70,35,15,20,46.32,7954053120,Consumer Defensive,2.0,15.7,6.41,1,3.7,flat,21.2
BNTX,70,40,30,0,95.28,23802730496,Healthcare,-35.4,4.7,3.27,4,-7.2,dropping,29.3
AWK,70,40,20,10,130.25,24419829760,Utilities,5.7,6.6,3.38,3,-1.2,flat,41.4
SNOW,70,35,20,15,222.05,52701962240,Technology,30.1,5.3,4.68,3,-12.2,dropping,63.5
CF,70,35,25,10,76.52,17670438912,Basic Materials,19.4,6.2,2.31,1,-4.7,flat,29.1
CHWY,70,35,25,10,32.85,9571069952,Consumer Cyclical,0.5,7.8,2.95,1,-5.2,dropping,16.1
ED,70,40,20,10,99.11,39178391552,Utilities,6.2,2.9,3.61,3,-3.0,flat,56.1
PANW,70,40,20,10,186.85,168590688256,Technology,14.9,3.2,3.41,3,-7.9,dropping,53.7
HD,70,40,30,0,344.05,316188983296,Consumer Cyclical,-3.8,1.4,3.27,2,-2.6,flat,25.1
RH,70,35,15,20,181.93,2530623744,Consumer Cyclical,3.7,38.1,3.32,2,27.7,rising,17.7
OTIS,70,35,25,10,87.61,28709636096,Industrials,6.4,3.4,2.7,1,-0.1,flat,20.8
AFL,70,40,15,15,110.21,57566191616,Financial Services,27.9,2.0,2.94,2,-0.8,flat,77.3
SPOT,70,35,25,10,576.68,85914230784,Communication Services,8.2,4.0,2.53,1,-10.0,dropping,39.1
BRBR,70,35,15,20,26.69,1198824704,Consumer Defensive,1.8,9.0,3.77,3,4.2,flat,7.3
RBRK,70,40,5,25,77.87,12830185472,Technology,46.3,8.3,4.63,3,11.7,rising,54.8
PPL,70,40,20,10,35.07,27010248704,Utilities,10.8,5.8,3.86,3,-3.2,flat,65.9
D,70,35,20,15,58.44,54429495296,Utilities,23.1,2.9,3.42,2,-2.9,flat,80.2
VICI,70,40,25,5,27.89,31054340096,Real Estate,3.5,2.9,2.66,6,-4.4,flat,29.0
LINE,70,40,15,15,34.41,10019884032,Real Estate,0.4,10.6,3.99,5,5.5,rising,11.1
SJM,70,35,25,10,97.44,10584845312,Consumer Defensive,7.0,5.5,2.19,1,-7.6,dropping,26.3
FLO,70,35,10,25,10.63,1788068480,Consumer Defensive,6.8,13.9,2.02,1,1.0,flat,8.7
UHAL,65,40,10,15,50.87,10034631680,Industrials,1.9,18.7,2.86,2,3.4,flat,8.9
KO,65,40,15,10,69.59,337400659968,Consumer Defensive,12.1,1.0,2.41,2,-0.2,flat,79.8
EHC,65,40,15,10,107.27,10525022208,Healthcare,9.0,3.5,2.46,2,-3.9,flat,49.9
LEN,65,35,30,0,102.88,21767843840,Consumer Cyclical,-13.3,0.2,6.12,7,-8.9,dropping,14.5
A,65,40,15,10,137.06,32674480128,Healthcare,7.0,1.8,2.63,2,-4.8,flat,64.7
CNA,65,40,5,20,45.53,11778938880,Financial Services,10.0,10.5,6.8,2,4.6,flat,74.5
ELF,65,25,10,30,76.8,3593919488,Consumer Defensive,37.8,14.9,2.09,1,5.5,rising,27.0
ACM,65,40,25,0,96.27,10419369984,Industrials,-4.6,5.4,2.94,6,-26.5,dropping,24.1
ASH,65,40,5,20,58.76,2518785536,Basic Materials,0.6,13.5,3.15,3,20.2,rising,55.6
PFGC,65,40,15,10,90.22,14628207616,Consumer Defensive,6.4,5.8,2.52,3,-4.1,flat,53.7
ETR,65,40,15,10,92.26,51095592960,Utilities,12.0,3.4,2.27,2,-2.3,flat,82.0
COKE,65,35,20,10,154.2,11602822144,Consumer Defensive,8.3,3.8,3.75,1,-3.1,flat,77.1
BAX,65,35,10,20,19.29,9291277312,Healthcare,2.9,11.5,2.16,1,8.7,rising,9.6
SO,65,40,15,10,86.89,103486242816,Utilities,8.0,2.2,2.07,2,-3.3,flat,43.8
MSI,65,40,15,10,382.93,63740641280,Technology,7.4,1.7,3.66,2,2.0,flat,18.9
DLR,65,40,15,10,155.33,69862203392,Real Estate,16.7,,2.97,2,-0.0,flat,53.2
ETN,65,35,20,10,318.98,155906342912,Industrials,16.8,2.0,3.04,2,-6.4,dropping,54.4
EXE,65,35,15,15,111.41,22951616512,Energy,41.0,2.7,2.41,1,-4.2,flat,59.9
TEL,65,40,15,10,229.68,60188913664,Technology,14.5,3.0,2.56,4,-1.6,flat,85.0
ARES,65,35,5,25,161.04,41737326592,Financial Services,28.3,13.2,18.4,2,15.6,rising,63.2
GTM,65,40,5,20,10.03,1947779968,Technology,3.2,16.8,3.19,2,4.3,flat,53.7
DINO,65,40,15,10,45.8,13057350656,Energy,11.8,4.1,2.22,2,-15.1,dropping,69.5
SEB,65,40,5,20,4466.95,4348523520,Industrials,3.6,8.3,3.02,13,10.7,rising,86.4
AMGN,65,35,20,10,326.43,179118014464,Healthcare,5.8,2.4,5.12,1,-3.1,flat,81.8
AKAM,65,40,5,20,87.97,21565661184,Technology,5.8,13.4,7.9,2,0.4,flat,56.5
Z,65,25,15,25,69.36,9479259136,Communication Services,18.4,8.0,3.92,1,1.4,flat,32.6
NCNO,65,40,0,25,26.04,2035658240,Technology,5.9,13.6,2.67,3,4.9,flat,43.5
PRGO,65,35,15,15,13.63,1620286720,Healthcare,-7.2,15.6,9.55,1,2.8,flat,10.0
HLNE,65,25,15,25,135.1,4963984896,Financial Services,18.0,10.0,3.04,1,7.5,rising,37.0
DJT,65,35,15,15,12.57,2473197824,Communication Services,,9.0,12.07,3,15.9,rising,7.2
MPC,65,35,20,10,163.0,71486521344,Energy,8.8,2.5,3.3,1,-16.0,dropping,57.4
PODD,65,35,15,15,287.03,10677841920,Healthcare,33.9,4.4,2.81,2,-12.5,dropping,45.6
OKTA,65,40,15,10,87.43,14711567360,Technology,11.6,5.3,3.16,3,7.8,rising,23.6
JAZZ,65,40,5,20,170.82,14166701056,Healthcare,19.1,9.6,7.15,4,0.4,flat,86.1
CPRT,65,40,25,0,39.5,32694685696,Industrials,-3.6,3.9,2.92,3,-4.4,flat,5.1
RYN,65,35,10,20,21.46,6194574848,Real Estate,233.8,3.2,2.39,1,2.5,flat,28.5
WRB,65,40,20,5,70.71,24451135488,Financial Services,4.0,,5.75,3,-6.7,dropping,70.2
MSFT,65,35,20,10,486.37,3083691884544,Technology,18.3,1.1,3.21,1,-3.8,flat,68.6
GFS,65,35,15,15,36.12,40648630272,Technology,3.1,28.6,14.38,1,9.6,rising,35.4
CLVT,65,40,10,15,3.37,1777021824,Technology,-1.4,16.0,2.42,3,0.0,flat,12.2
UBER,65,40,15,10,82.12,153585942528,Technology,14.5,2.8,2.86,2,-10.8,dropping,52.7
CAVA,65,25,10,30,58.34,9243143168,Consumer Cyclical,20.9,13.8,2.26,1,29.0,rising,14.8
EPAM,65,40,0,25,206.31,5184217088,Technology,7.6,18.4,2.33,2,16.0,rising,52.1
FFIV,65,40,15,10,259.37,19974107136,Technology,11.0,4.0,3.34,4,13.4,rising,29.1
PEP,65,40,15,10,142.88,211356401664,Consumer Defensive,8.5,1.7,2.44,2,-1.5,flat,64.5
ABT,65,40,15,10,124.37,146869682176,Healthcare,7.8,1.4,2.46,2,-3.3,flat,54.8
HPQ,65,35,10,20,22.53,20819888128,Technology,6.9,15.2,2.38,1,1.3,flat,18.0
ES,65,35,20,10,66.84,25013084160,Utilities,9.4,2.9,3.58,2,-7.7,dropping,71.3
ERIE,65,35,15,15,284.71,11289381888,Financial Services,2.3,9.5,4.67,1,0.2,flat,8.0
CNP,65,35,15,15,38.4,27291951104,Utilities,1.9,8.1,2.18,1,-3.4,flat,84.0
NEE,65,35,20,10,79.98,194145288192,Utilities,7.3,0.0,3.08,1,-5.5,dropping,75.9
FHB,65,40,0,25,25.33,3325883136,Financial Services,7.4,11.9,2.65,3,9.4,rising,79.2
OWL,65,35,10,20,14.7,16463572992,Financial Services,10.3,20.5,2.49,2,8.9,rising,14.1
PINS,65,30,15,20,26.03,11914546176,Communication Services,17.8,18.9,6.48,2,2.0,flat,13.6
GPN,60,35,10,15,79.05,18916327424,Industrials,64.2,5.4,2.9,1,9.6,rising,28.8
KEYS,60,40,5,15,206.01,61792346112,Technology,23.3,1.3,3.37,3,17.4,rising,90.8
LLYVK,60,35,5,20,83.33,8809423872,Communication Services,29.0,3.0,5.04,4,2.7,flat,54.1
GD,60,35,15,10,336.53,93712171008,Industrials,10.3,1.1,2.45,1,-0.7,flat,83.2
VLO,60,35,15,10,163.86,71578615808,Energy,6.6,3.4,2.41,1,-7.0,dropping,77.7
NEU,60,40,15,5,694.37,6299814912,Basic Materials,-4.5,7.0,2.81,2,-5.9,dropping,56.4
RPRX,60,35,15,10,38.79,29246517248,Healthcare,11.0,2.7,2.45,1,-0.4,flat,87.7
LULU,60,40,15,5,210.67,15388871680,Consumer Cyclical,0.8,5.4,3.94,3,28.3,rising,19.5
TDG,60,35,15,10,1316.45,67963777024,Industrials,18.3,2.4,2.28,2,-1.4,flat,50.7
RLI,60,35,15,10,64.4,4509575168,Financial Services,4.0,5.8,3.77,1,5.8,rising,35.5
UHS,60,35,15,10,224.84,10288758784,Healthcare,9.6,4.8,2.08,1,-0.6,flat,77.6
FOX,60,40,5,15,65.04,24077416448,Communication Services,2.0,8.0,3.25,2,12.6,rising,98.5
WPC,60,35,15,10,63.48,16504967168,Real Estate,8.9,5.3,2.84,1,-2.6,flat,76.4
CRS,60,35,15,10,318.27,21257990144,Industrials,11.6,3.9,2.2,1,-4.1,flat,88.5
BSY,60,25,10,25,38.61,9952378880,Technology,14.5,8.5,2.38,1,-7.4,dropping,10.3
GDDY,60,35,15,10,126.08,12078070784,Technology,6.1,5.7,3.08,1,0.7,flat,4.4
FAST,60,35,15,10,40.43,50708705280,Industrials,12.4,2.4,3.25,1,2.9,flat,39.7
VNOM,60,35,10,15,38.53,16797363200,Energy,109.1,4.0,2.88,1,6.5,rising,36.0
FE,60,35,15,10,44.08,25641854976,Utilities,11.6,5.6,2.69,1,-3.4,flat,75.4
CRM,60,30,10,20,265.26,148738539520,Technology,12.1,10.5,2.4,2,12.4,rising,31.0
EFX,60,40,10,10,220.18,21211181056,Industrials,14.3,5.3,2.78,2,8.0,rising,27.4
THO,60,35,0,25,103.04,4060405760,Consumer Cyclical,5.3,10.5,2.84,1,8.2,rising,76.5
BMRN,60,40,15,5,58.99,10448956416,Healthcare,2.8,5.3,6.99,2,8.3,rising,36.2
LLYVA,60,35,5,20,81.25,8610694144,Communication Services,29.0,4.7,7.53,5,3.6,flat,54.3
CLSK,60,25,10,25,10.42,3631691264,Financial Services,11.6,46.2,2.23,1,-1.8,flat,23.1
MRNA,60,25,10,25,30.41,21565333504,Healthcare,260.2,18.3,2.12,1,22.8,rising,30.5
ALK,60,25,10,25,50.13,4550759424,Industrials,5.2,13.5,2.2,1,28.2,rising,30.9
RPM,60,35,15,10,104.02,12911308800,Basic Materials,8.9,2.5,5.04,1,1.0,flat,32.2
PSX,60,35,15,10,128.5,68784406528,Energy,6.9,1.8,2.06,2,-5.2,dropping,72.7
LPX,60,40,15,5,82.02,5250345984,Industrials,-20.7,7.7,3.62,2,10.3,rising,19.8
DTE,60,35,15,10,128.77,29248782336,Utilities,15.8,2.9,2.47,3,-4.8,flat,57.6
OKE,60,40,10,10,71.96,53653598208,Energy,19.6,4.6,2.16,2,7.2,rising,23.6
DASH,60,40,5,15,228.13,71427366912,Consumer Cyclical,33.1,3.0,3.3,4,8.3,rising,55.9
ADP,60,35,15,10,257.4,85141397504,Technology,7.0,3.9,3.79,1,4.1,flat,17.7
AEE,60,35,15,10,100.06,30174566400,Utilities,7.9,3.7,2.68,2,-3.7,flat,75.8
TROW,60,40,0,20,102.12,22568701952,Financial Services,5.3,13.1,2.25,2,7.7,rising,70.9
HALO,60,30,0,30,67.7,7596572672,Healthcare,51.6,15.6,2.7,3,-4.1,flat,63.1
CSGP,60,30,15,15,67.86,13381817344,Real Estate,22.5,4.9,3.07,3,1.3,flat,16.5
PAYO,60,35,10,15,5.71,1727457792,Technology,6.1,3.4,2.82,1,5.7,rising,12.7
NNN,60,35,15,10,38.72,8439409152,Real Estate,4.1,4.2,2.43,1,-2.9,flat,63.9
COR,60,40,15,5,339.46,50795999232,Healthcare,3.8,2.8,2.32,2,-6.8,dropping,75.9
DE,60,40,20,0,466.95,155268481024,Industrials,-11.1,1.7,3.9,2,-1.3,flat,54.1
BR,60,35,15,10,224.01,17290915840,Technology,7.8,3.3,3.61,1,0.6,flat,25.7
LKQ,60,35,15,10,30.51,7360906752,Consumer Cyclical,4.3,7.1,15.79,1,4.1,flat,17.6
ADBE,60,40,10,10,352.51,102278766592,Technology,12.0,4.1,2.38,2,8.4,rising,26.6
WLK,60,40,10,10,74.51,12024338432,Basic Materials,-6.8,10.5,2.8,2,27.9,rising,31.3
VXRT,60,25,10,25,0.35,169381104,Healthcare,87.9,9.4,2.79,1,-10.3,dropping,12.5
CERT,60,30,10,20,8.86,967481216,Healthcare,3.3,22.9,2.48,2,8.4,rising,10.9
DOX,60,35,15,10,80.03,6857651200,Technology,4.1,5.8,3.8,1,8.3,rising,34.9
LDOS,60,35,20,5,182.9,16365946880,Technology,3.7,3.2,3.04,1,-2.7,flat,73.5
AMG,60,40,5,15,290.34,7997578752,Financial Services,9.7,4.9,3.83,5,15.6,rising,94.2
DXC,60,35,10,15,14.89,1600836608,Technology,-1.2,19.3,2.01,1,19.5,rising,25.7
BAH,60,40,15,5,84.51,9290592256,Industrials,-10.2,7.3,8.41,3,4.3,flat,9.2
PEG,60,35,15,10,80.26,38435528704,Utilities,19.4,2.4,2.31,1,-1.1,flat,47.3
UA,60,40,15,5,4.93,2661812480,Consumer Cyclical,-5.2,,5.05,2,21.4,rising,25.1
LBRDA,60,40,15,5,48.62,5184760320,Communication Services,,1.9,3.34,2,5.0,flat,8.0
ATO,60,35,20,5,167.65,30190788608,Utilities,0.6,2.6,4.93,1,-3.5,flat,76.2
MCK,60,35,15,10,826.64,88330805248,Healthcare,6.0,2.1,2.02,1,-3.2,flat,79.7
ALGN,60,35,15,10,158.14,12087707648,Healthcare,6.2,6.1,4.72,1,19.3,rising,31.4
WWD,60,40,5,15,302.85,22041487360,Industrials,23.4,1.3,3.07,2,16.8,rising,91.6
ASTS,60,35,0,25,74.68,29123674112,Technology,2731.3,21.3,2.01,1,31.9,rising,67.0
CIEN,60,40,5,15,238.36,77501890560,Technology,33.1,5.2,4.71,2,24.3,rising,95.2
NWSA,60,35,15,10,26.28,14786685952,Communication Services,8.8,4.4,3.6,1,3.6,flat,37.2
PCG,60,35,15,10,15.98,35389751296,Utilities,15.0,,2.23,1,-1.5,flat,42.4
DRI,60,35,15,10,182.18,22475202560,Consumer Cyclical,5.9,6.0,3.44,2,7.7,rising,28.6
PAYX,60,35,15,10,112.22,33654261760,Technology,19.9,6.4,3.64,2,2.6,flat,10.7
CWEN,60,30,5,25,32.99,9162092544,Utilities,18.8,9.8,3.09,2,-6.9,dropping,77.3
DUK,60,35,15,10,116.69,96802463744,Utilities,11.3,2.2,2.27,1,-6.0,dropping,59.0
PDD,60,35,15,10,113.83,140603097088,Consumer Cyclical,12.0,3.1,2.39,1,-11.8,dropping,51.1
FOXA,60,40,5,15,73.34,26774427648,Communication Services,2.0,18.4,3.03,2,14.2,rising,96.6
GPK,60,25,15,20,14.97,3145283072,Consumer Cyclical,1.7,15.7,3.74,1,-1.9,flat,9.2
LOPE,60,35,10,15,167.0,4403759104,Consumer Defensive,6.7,4.7,2.92,1,2.4,flat,23.5
RL,55,35,0,20,357.68,21736644608,Consumer Cyclical,12.2,9.0,2.51,1,10.9,rising,90.0
MKTX,55,25,15,15,181.71,5243135488,Financial Services,11.9,7.7,3.59,1,5.7,rising,36.2
KBR,55,35,15,5,40.47,4125745408,Industrials,-4.7,4.7,4.12,1,0.6,flat,5.8
SATS,55,40,5,10,109.2,36849041408,Communication Services,-4.3,30.6,5.22,3,63.2,rising,97.7
COLM,55,25,10,20,55.89,3223915520,Consumer Cyclical,0.1,14.2,2.03,1,9.9,rising,20.5
ZTS,55,35,15,5,125.33,34724667392,Healthcare,2.9,3.6,4.74,2,6.4,rising,18.5
AGCO,55,40,0,15,104.51,8496416256,Industrials,14.3,3.1,2.08,2,2.0,flat,66.6
CCK,55,40,5,10,103.39,11307640832,Consumer Cyclical,12.9,5.3,6.91,2,9.2,rising,84.6
ZBH,55,35,10,10,90.54,15927766016,Healthcare,9.3,6.8,2.78,1,2.7,flat,20.0
WDC,55,25,5,25,175.98,165447434240,Technology,45.5,8.9,4.0,1,8.5,rising,92.1
