symbol,run_start_date,peak_return_pct,peak_date,sector,market_cap_at_start,pct_below_52w_high,pct_above_52w_low,ret_10d,ret_30d,ret_60d,has_base,dist_ma50_pct,dist_ma200_pct,above_ma200,avg_vol_30d,avg_vol_90d,spike_days_2x,spike_days_3x,vol_trend_increasing,max_vol_ratio_30d,vol_ratio_on_start,signals_present,signals_list,green_on_start,vix,spy_regime,days_since_correction,revenue_growth_yoy,eps_positive,gross_margin
MSTR,2020-02-12,749.53,2021-02-09,Technology,65740513280.0,7.82,26.22,-0.33,7.1,-2.9,True,3.23,6.71,True,621900,608378,1,1,True,4.19,0.89,4,"above_ma200,near_52w_high,vol_increasing,base_present",False,13.74,above_ma50,392,11.9,False,
PENN,2020-03-12,748.8,2021-03-11,Consumer Cyclical,2240537856.0,49.44,18.48,-30.86,-31.74,-20.66,False,-32.01,-12.0,False,4747350,2427123,14,2,True,5.17,2.99,1,vol_increasing,False,75.47,below_ma50,0,6.4,False,
TSLA,2020-01-15,748.62,2021-01-08,Consumer Cyclical,1608764358656.0,1.73,203.93,28.59,60.64,109.35,False,41.51,96.07,True,195231850,148913667,4,1,True,3.14,1.75,3,"above_ma200,near_52w_high,vol_increasing",False,12.42,above_ma50,364,15.8,True,
LUNR,2022-02-22,745.26,2023-02-22,Industrials,4634095104.0,0.61,1.57,0.83,0.41,0.22,True,0.35,0.32,True,24097,26605,1,1,False,24.88,0.0,3,"above_ma200,near_52w_high,base_present",False,28.81,below_ma50,0,-18.1,False,
VKTX,2022-10-11,743.2,2023-06-08,Healthcare,3637589760.0,59.83,40.1,8.85,-14.5,-18.68,False,-11.27,-10.34,False,450783,855607,0,0,False,1.2,0.63,1,green_day,True,33.63,below_ma50,0,,False,
LUNR,2022-08-23,742.65,2023-02-22,Industrials,4634095104.0,0.71,1.88,-0.21,0.41,1.04,True,0.2,0.51,True,13730,21302,1,1,True,18.79,0.0,4,"above_ma200,near_52w_high,vol_increasing,base_present",False,24.11,above_ma50,0,-18.1,False,
FCEL,2019-06-11,742.5,2020-06-10,Industrials,725796736.0,98.04,7.32,-67.41,-83.33,-89.81,False,-80.35,-93.79,False,50777,24963,11,6,True,8.33,2.93,1,vol_increasing,False,15.99,above_ma50,146,60.7,False,
FCEL,2020-06-10,729.67,2021-02-09,Industrials,725796736.0,13.0,1907.69,20.28,21.96,125.0,False,35.65,103.61,True,286238,413340,0,0,False,1.47,4.13,4,"vol_3x,green_day,above_ma200,near_52w_high",True,27.57,above_ma50,15,60.7,False,
CVNA,2023-11-09,721.48,2024-11-11,Consumer Cyclical,61884190720.0,40.57,857.46,16.8,-17.58,-10.69,False,-13.62,37.35,True,36966667,74267044,0,0,False,1.35,0.57,1,above_ma200,False,15.29,above_ma50,9,52.0,True,
BTBT,2019-08-07,720.77,2020-08-06,Financial Services,587838976.0,95.08,4.22,-61.99,-79.29,-86.63,False,-77.12,-89.67,False,209023,124723,9,0,True,2.86,1.36,1,vol_increasing,False,19.49,below_ma50,203,24.9,False,
PINS,2020-03-18,716.39,2021-02-16,Communication Services,11914546176.0,65.65,20.42,-36.11,-43.68,-33.73,False,-38.75,-48.42,False,17103470,12383224,4,1,True,4.89,1.08,1,vol_increasing,False,76.45,below_ma50,0,17.8,True,
ZG,2020-03-19,715.16,2021-02-16,Communication Services,9595947008.0,64.89,26.06,-54.73,-52.15,-46.0,False,-51.26,-43.36,False,1189200,746871,8,5,True,6.42,2.4,2,"green_day,vol_increasing",True,72.0,below_ma50,0,18.4,True,
NVAX,2020-05-12,703.44,2021-02-08,Healthcare,1662469248.0,6.99,592.09,19.22,71.33,219.01,False,60.75,210.08,True,6903720,7953300,2,2,False,3.4,9.39,4,"vol_3x,green_day,above_ma200,near_52w_high",True,33.04,above_ma50,0,-79.1,False,
DDS,2020-12-11,700.82,2021-11-23,Consumer Cyclical,8796315648.0,28.85,146.22,5.39,14.52,51.1,False,11.35,51.15,True,324347,510291,0,0,False,1.13,0.42,2,"green_day,above_ma200",True,23.31,above_ma50,168,-3.0,True,
MRNA,2020-01-23,691.15,2020-12-08,Healthcare,21565333504.0,26.25,90.38,22.19,16.99,29.16,False,13.02,22.13,True,2427173,2328562,3,2,True,4.69,1.57,2,"above_ma200,vol_increasing",False,12.98,above_ma50,372,260.2,False,
RGTI,2024-12-13,686.87,2025-10-15,Technology,6294624768.0,25.0,804.55,95.74,352.27,632.52,False,211.23,347.95,True,75009617,27806320,13,11,True,11.27,4.48,4,"vol_3x,green_day,above_ma200,vol_increasing",True,13.81,above_ma50,409,-17.9,False,
AEHR,2020-09-09,675.36,2021-09-09,Technology,3058200064.0,34.89,64.55,-2.69,-12.56,-14.62,False,-9.15,-3.79,False,52637,77083,1,0,False,2.87,12.62,1,vol_3x,False,28.81,above_ma50,75,-43.7,False,
BITF,2020-01-13,673.5,2021-01-12,Financial Services,1199686528.0,66.93,10.01,-1.89,-16.05,5.93,False,-8.73,-32.11,False,6615,3898,7,6,True,14.86,3.85,2,"vol_3x,vol_increasing",False,12.32,above_ma50,362,,False,
Z,2020-03-19,659.5,2021-02-16,Communication Services,9479259136.0,62.49,24.8,-51.48,-49.07,-43.07,False,-48.24,-40.11,False,4885530,3368858,7,1,True,5.73,1.55,2,"green_day,vol_increasing",True,72.0,below_ma50,0,18.4,True,
CVNA,2022-11-08,658.97,2023-09-14,Consumer Cyclical,61884190720.0,97.57,10.63,-51.64,-70.24,-85.51,False,-68.57,-87.98,False,78423367,60094300,2,2,True,5.92,3.36,2,"vol_3x,vol_increasing",False,25.54,above_ma50,0,52.0,True,
PLTR,2024-08-05,656.33,2025-08-07,Technology,330349608960.0,17.06,80.85,-13.07,3.78,14.75,False,-1.72,14.77,True,41978863,42596341,0,0,True,1.8,2.07,4,"green_day,above_ma200,near_52w_high,vol_increasing",True,38.57,below_ma50,279,84.7,True,
RGTI,2023-12-13,651.53,2024-12-11,Technology,6294624768.0,70.96,176.67,-6.04,-6.04,-44.36,False,-14.41,-17.67,False,2385297,4911974,0,0,False,0.89,0.56,0,,False,12.19,above_ma50,43,-17.9,False,
SMMT,2020-02-12,646.0,2021-02-08,Healthcare,14033019904.0,35.77,39.58,10.49,5.47,3.27,False,3.79,4.98,True,53977,44379,5,1,True,5.42,2.35,2,"above_ma200,vol_increasing",False,13.74,above_ma50,392,,False,
CAR,2020-03-19,644.21,2021-03-15,Industrials,5148616192.0,85.32,22.52,-68.72,-78.07,-76.35,False,-76.13,-75.04,False,3180010,1694064,10,4,True,7.2,6.12,3,"vol_3x,green_day,vol_increasing",True,72.0,below_ma50,0,4.1,False,
CROX,2020-03-19,637.39,2021-03-15,Consumer Cyclical,5149338112.0,75.2,29.29,-55.03,-72.44,-73.06,False,-68.23,-63.7,False,1565673,1237354,5,1,True,3.47,2.31,2,"green_day,vol_increasing",True,72.0,below_ma50,0,-1.7,False,
NIO,2019-08-28,619.72,2020-08-26,Consumer Cyclical,14658152448.0,78.91,23.83,0.34,-15.41,-4.28,False,-6.6,-45.41,False,19545083,28004736,0,0,False,1.39,0.37,0,,False,19.35,below_ma50,224,75.9,False,
BE,2020-04-13,618.01,2021-02-08,Industrials,74248380416.0,60.26,151.64,17.85,-32.3,-37.03,False,-22.21,-11.46,False,3563040,3337107,1,0,False,2.73,0.64,0,,False,41.17,below_ma50,0,130.4,False,
HIMS,2024-02-20,615.3,2025-02-19,Healthcare,6532378112.0,18.72,77.52,17.17,20.12,32.32,False,12.6,23.68,True,2425210,2709566,0,0,False,1.5,1.3,2,"above_ma200,near_52w_high",False,15.42,above_ma50,112,28.4,True,
MRNA,2020-08-13,614.24,2021-08-09,Healthcare,21565333504.0,26.98,457.5,-10.45,12.88,-3.0,False,0.53,75.19,True,29171707,23807213,5,3,True,4.35,0.63,2,"above_ma200,vol_increasing",False,22.13,above_ma50,48,260.2,False,
BTBT,2020-08-13,613.9,2021-01-04,Financial Services,587838976.0,20.73,1457.14,47.8,235.38,407.57,False,102.18,322.46,True,355393,548207,3,2,False,3.43,0.33,1,above_ma200,False,22.13,above_ma50,48,24.9,False,
AR,2020-02-27,613.87,2021-02-17,Energy,11135505408.0,83.74,2.0,-13.56,-40.0,-23.12,False,-30.86,-57.58,False,11245870,11101504,0,0,True,1.31,1.49,1,vol_increasing,False,39.16,below_ma50,0,34.3,True,
SOUN,2023-12-07,613.74,2024-12-09,Technology,3785347072.0,59.1,124.73,-3.69,30.62,-7.52,False,8.52,-17.16,False,8460183,10347954,0,0,True,1.62,0.64,2,"green_day,vol_increasing",True,13.06,above_ma50,37,59.4,False,
QBTS,2023-12-14,608.82,2024-12-16,Technology,8360524288.0,70.0,142.42,17.07,19.11,3.9,False,10.65,-15.73,False,1685053,2283291,0,0,True,1.74,1.2,2,"green_day,vol_increasing",True,12.48,above_ma50,44,19.2,False,
ENPH,2019-01-02,607.93,2019-08-21,Technology,4804045312.0,37.76,158.47,-14.47,-14.62,1.94,False,-8.47,-9.35,False,1579577,2031999,1,0,False,2.05,0.37,1,green_day,True,23.22,below_ma50,0,-20.6,True,
ETSY,2020-03-19,605.65,2021-03-01,Consumer Cyclical,6109419008.0,45.33,14.77,-36.83,-20.82,-10.92,False,-23.25,-26.91,False,3824137,3089412,3,1,True,4.26,2.59,1,vol_increasing,False,72.0,below_ma50,0,3.1,True,
APP,2023-11-13,600.34,2024-11-08,Communication Services,157404463104.0,2.92,379.1,19.22,7.28,14.54,False,10.18,64.84,True,2793897,2757908,2,1,True,5.21,1.24,3,"above_ma200,near_52w_high,vol_increasing",False,14.76,above_ma50,13,59.0,True,
CVNA,2020-03-12,597.63,2021-03-02,Consumer Cyclical,61884190720.0,50.89,6.03,-36.25,-30.78,-38.42,False,-35.01,-27.44,False,12160467,8921289,7,1,True,3.76,2.34,1,vol_increasing,False,75.47,below_ma50,0,52.0,True,
RKLB,2024-06-20,597.08,2025-06-24,Industrials,61040865280.0,39.01,41.5,10.59,23.68,20.34,False,19.5,9.31,True,7605883,7681460,3,0,True,2.68,1.61,2,"above_ma200,vol_increasing",False,13.28,above_ma50,233,63.5,False,
XYZ,2020-03-19,591.43,2021-02-19,Technology,44549296128.0,54.73,22.18,-48.24,-49.52,-37.92,False,-45.4,-41.83,False,13345243,9461799,6,1,True,3.8,2.6,1,vol_increasing,False,72.0,below_ma50,0,4.9,True,
NVAX,2019-05-13,591.32,2020-05-12,Healthcare,1662469248.0,87.27,11.93,-38.02,-40.27,-85.07,False,-38.41,-78.09,False,633512,769517,1,0,False,2.31,1.57,0,,False,20.55,below_ma50,117,-79.1,False,
CLSK,2020-01-07,590.2,2021-01-06,Financial Services,3631691264.0,93.5,72.33,-9.3,-13.26,0.39,False,-15.66,-65.99,False,11611,12375,3,2,False,3.33,0.62,0,,False,13.79,above_ma50,356,11.6,False,
AMC,2020-03-12,583.85,2021-01-27,Communication Services,1112625920.0,77.24,2.25,-39.86,-45.9,-55.45,False,-44.12,-59.08,False,324983,345308,2,0,False,2.19,2.33,1,green_day,True,75.47,below_ma50,0,21.2,False,
BITF,2022-12-21,583.12,2023-12-22,Financial Services,1199686528.0,92.54,5.04,-7.79,-44.23,-56.72,False,-39.27,-73.37,False,2836555,3418607,0,0,True,1.61,0.5,1,vol_increasing,False,20.07,above_ma50,0,,False,
BE,2019-10-10,580.12,2020-10-09,Industrials,74248380416.0,89.23,2.33,-12.03,-28.1,-73.53,False,-39.42,-70.36,False,2504830,2122896,2,1,True,5.26,1.71,2,"green_day,vol_increasing",True,17.57,above_ma50,267,130.4,False,
VKTX,2022-04-11,579.56,2023-04-13,Healthcare,3637589760.0,59.72,0.17,-6.75,-13.43,-29.78,False,-13.32,-43.14,False,945130,1058588,1,1,False,5.48,0.86,0,,False,24.37,below_ma50,27,,False,
DDS,2020-06-15,577.37,2021-06-09,Consumer Cyclical,8796315648.0,65.24,39.02,2.54,5.39,-32.76,False,3.97,-45.64,False,831690,681976,3,1,True,3.18,3.24,2,"vol_3x,vol_increasing",False,34.4,above_ma50,4,-3.0,True,
SNAP,2020-03-12,576.1,2021-02-23,Communication Services,10075538432.0,45.28,10.7,-26.26,-43.52,-28.36,False,-35.3,-30.19,False,30713313,24353617,2,1,True,4.49,1.57,2,"green_day,vol_increasing",True,75.47,below_ma50,0,12.1,False,
BBAI,2024-04-19,574.48,2025-02-13,Technology,2002008576.0,68.09,31.9,-21.54,-59.31,-17.3,False,-32.72,-17.07,False,13282610,9368434,7,4,True,5.75,0.46,1,vol_increasing,False,18.71,below_ma50,171,-0.9,False,
RH,2020-04-02,573.33,2021-03-30,Consumer Cyclical,2530623744.0,65.42,21.18,-3.48,-63.94,-58.94,False,-49.82,-48.28,False,1873013,1394060,2,1,True,3.55,1.37,2,"green_day,vol_increasing",True,50.91,below_ma50,0,3.7,True,
HOOD,2024-08-07,569.57,2025-08-08,Financial Services,69365907456.0,30.83,117.57,-19.62,-22.27,6.04,False,-21.35,9.1,True,14173187,16314599,1,0,False,2.76,2.0,1,above_ma200,False,27.85,below_ma50,281,15.1,True,
RDW,2024-01-17,567.53,2025-01-03,Industrials,2202030080.0,39.3,19.57,-6.08,4.12,4.51,False,0.18,-4.0,False,157677,187748,1,0,True,2.47,0.71,1,vol_increasing,False,14.79,above_ma50,78,57.9,False,
FUTU,2020-01-14,566.89,2021-01-12,Financial Services,20270721024.0,45.18,12.33,6.02,1.15,-0.98,True,0.57,-8.08,False,89783,81489,3,0,True,2.98,0.97,3,"green_day,vol_increasing,base_present",True,12.39,above_ma50,363,53.1,True,
GME,2020-01-14,566.67,2021-01-13,Consumer Cyclical,10886549504.0,66.78,72.38,-11.42,-14.35,-9.95,False,-7.95,-9.52,False,20490947,22690262,1,1,True,3.44,2.21,1,vol_increasing,False,12.39,above_ma50,363,-13.9,True,
LUNR,2023-12-22,566.0,2024-12-24,Industrials,4634095104.0,98.12,3.23,-16.34,-14.95,-28.29,False,-15.23,-61.26,False,467363,370282,5,4,True,3.57,2.63,1,vol_increasing,False,13.03,above_ma50,52,-18.1,False,
FCX,2020-03-19,563.41,2021-02-22,Basic Materials,88623775744.0,63.33,9.48,-46.85,-57.21,-58.07,False,-51.95,-50.51,False,31751020,25968366,2,0,True,2.62,1.5,2,"green_day,vol_increasing",True,72.0,below_ma50,0,8.8,True,
LUNR,2024-06-26,562.93,2025-01-24,Industrials,4634095104.0,73.06,70.9,-13.98,-41.19,-46.32,False,-27.74,-16.14,False,2184010,7371424,0,0,False,0.55,0.31,0,,False,12.55,above_ma50,239,-18.1,False,
MARA,2020-12-21,561.65,2021-11-09,Financial Services,4932692480.0,10.91,2560.0,68.97,286.31,382.38,False,143.78,373.17,True,29779087,16264874,10,7,True,5.51,3.1,5,"vol_3x,green_day,above_ma200,near_52w_high,vol_increasing",True,25.16,above_ma50,178,-5.6,False,
MTDR,2020-10-29,561.03,2021-10-26,Energy,6863340544.0,64.9,527.03,-23.18,-22.84,-26.27,False,-21.32,-18.1,False,2803973,3055037,1,0,True,2.51,1.55,2,"green_day,vol_increasing",True,37.59,below_ma50,125,0.8,True,
CLSK,2022-12-30,558.33,2023-12-27,Financial Services,3631691264.0,85.98,12.07,2.63,-18.75,-41.44,False,-21.29,-61.1,False,2663027,2779260,1,0,False,2.35,0.62,1,green_day,True,21.67,below_ma50,0,11.6,False,
BILL,2020-03-18,557.31,2021-02-10,Technology,4139515392.0,47.54,3.64,-42.75,-36.41,-11.94,False,-32.25,-28.38,False,700600,751026,1,0,True,2.29,1.85,1,vol_increasing,False,76.45,below_ma50,0,13.5,False,
MSTR,2023-10-12,556.95,2024-10-11,Technology,65740513280.0,29.57,152.42,1.73,-9.97,-26.15,False,-3.98,9.69,True,4972700,7249300,0,0,False,1.18,0.61,1,above_ma200,False,16.69,below_ma50,134,11.9,False,
MRNA,2019-07-24,555.49,2020-07-17,Healthcare,21565333504.0,54.35,4.37,-6.08,-15.0,-45.9,False,-21.23,-28.77,False,1529173,1209627,2,1,True,4.64,0.97,2,"green_day,vol_increasing",True,12.07,above_ma50,189,260.2,False,
CZR,2020-03-12,550.84,2021-03-11,Consumer Cyclical,5711101440.0,64.98,8.12,-50.34,-59.24,-54.87,False,-56.35,-49.42,False,3348977,2020081,12,9,True,4.04,5.35,2,"vol_3x,vol_increasing",False,75.47,below_ma50,0,2.7,False,
HUT,2020-02-05,549.39,2021-01-08,Financial Services,11086016512.0,63.9,34.39,-36.11,1.9,-39.93,False,-18.64,-44.67,False,3628,3140,4,2,True,3.83,2.41,2,"green_day,vol_increasing",True,15.15,above_ma50,385,225.5,False,
BNTX,2020-08-12,547.13,2021-08-09,Healthcare,23802730496.0,34.81,446.51,-17.03,2.56,13.76,False,0.44,52.8,True,4765707,2647304,7,4,True,6.01,1.23,2,"above_ma200,vol_increasing",False,22.28,above_ma50,47,-35.4,False,
LC,2020-09-09,544.49,2021-09-07,Financial Services,1919439360.0,66.92,17.27,-8.5,-5.95,-6.99,False,-6.01,-40.18,False,1199653,1300211,1,0,False,2.28,0.83,0,,False,28.81,above_ma50,75,12.5,True,
DKNG,2019-10-04,542.94,2020-10-02,Consumer Cyclical,12651357184.0,0.3,1.33,0.41,0.41,0.0,True,0.59,0.59,True,24310,45808,4,1,False,6.33,0.02,3,"above_ma200,near_52w_high,base_present",False,17.04,above_ma50,261,16.8,False,
FUTU,2020-07-15,541.59,2021-02-16,Financial Services,20270721024.0,12.51,262.38,24.93,56.04,181.35,False,51.8,127.77,True,1134117,567239,13,3,True,7.35,1.31,3,"above_ma200,near_52w_high,vol_increasing",False,27.76,above_ma50,19,53.1,True,
IONQ,2024-04-10,538.37,2025-01-06,Technology,18379812864.0,61.11,58.79,-7.79,-27.4,-26.32,False,-17.06,-35.08,False,8307577,7311169,2,1,True,3.6,0.93,1,vol_increasing,False,15.8,above_ma50,162,754.7,True,
SMCI,2023-01-23,537.55,2024-01-24,Technology,21239044096.0,24.41,111.02,-14.71,-16.4,7.37,False,-13.93,17.7,True,16783533,10594589,6,4,True,7.96,1.12,3,"green_day,above_ma200,vol_increasing",True,19.81,above_ma50,0,122.7,True,
