symbol,run_start_date,peak_date,peak_return_pct,sector,spike_count_90d,days_first_spike_to_run,days_last_spike_to_run,accum_price_trend,accum_price_change_pct,launch_vol_ratio,launch_change_pct,launch_gap_pct,launch_type,days_to_peak,max_drawdown_during_run_pct,run_style,ideal_entry_date,ideal_entry_price,ideal_entry_return_pct,days_entry_to_run,entry_window_days
SMMT,2023-12-01,2024-09-13,1399.06,Healthcare,3,109.0,45.0,rising,5.13,1.7,7.04,-1.97,gradual_push,287,-54.99,volatile_climb,2023-12-20,2.425,1216.7,-19.0,3
PR,2020-09-10,2021-06-25,1320.54,Energy,5,129.0,83.0,dropping,-28.23,1.05,-9.47,-1.04,quiet_start,288,-35.2,volatile_climb,,,,,0
MTDR,2020-03-12,2021-03-05,1221.29,Energy,6,16.0,1.0,dropping,-22.88,4.8,16.76,-12.63,strong_breakout,358,-54.55,volatile_climb,2020-03-11,1.8287,1247.98,1.0,7
PLUG,2020-02-21,2021-01-26,1213.82,Industrials,6,77.0,1.0,rising,42.53,1.97,-1.42,2.54,quiet_start,340,-50.45,volatile_climb,2020-02-19,5.72,1179.37,2.0,7
CLSK,2020-07-08,2021-01-07,1202.9,Financial Services,9,90.0,2.0,rising,43.4,1.55,10.71,0.0,gradual_push,183,-51.42,volatile_climb,2020-06-29,3.25,1142.77,9.0,9
ASTS,2024-02-21,2024-08-19,1121.52,Technology,6,98.0,13.0,dropping,-5.38,0.83,-4.24,-0.6,quiet_start,180,-40.53,volatile_climb,2024-01-19,3.09,1149.19,33.0,18
MARA,2019-12-20,2020-12-21,1097.92,Financial Services,11,128.0,7.0,dropping,-35.08,0.75,-1.03,0.0,quiet_start,367,-68.25,volatile_climb,2019-12-11,1.1,945.45,9.0,26
CHRD,2019-11-21,2020-11-20,1096.91,Energy,3,106.0,15.0,dropping,-22.9,0.94,0.0,1.57,quiet_start,365,-97.52,volatile_climb,2019-11-13,1.7693,983.92,8.0,1
OVV,2020-03-12,2021-03-12,1011.13,Energy,7,133.0,1.0,dropping,-37.36,3.48,-1.52,-5.92,quiet_start,365,-39.12,volatile_climb,2020-03-10,2.4748,901.92,2.0,16
GME,2021-01-13,2021-01-27,1006.72,Consumer Cyclical,9,113.0,21.0,rising,78.51,12.42,53.77,2.36,strong_breakout,14,-11.05,minor_pullbacks,2021-01-15,8.875,878.9,-2.0,1
CAR,2020-11-05,2021-11-02,1005.45,Industrials,5,126.0,16.0,rising,13.88,1.84,11.22,2.4,gradual_push,362,-27.06,volatile_climb,2020-10-26,34.9164,871.89,10.0,2
QXO,2023-07-03,2024-06-10,988.08,Industrials,14,131.0,6.0,flat,2.27,0.6,-1.44,2.97,quiet_start,343,-44.86,volatile_climb,2023-06-21,19.7544,1092.7,12.0,22
CELH,2020-02-21,2021-01-19,987.19,Consumer Defensive,6,93.0,28.0,rising,53.77,2.4,0.31,-0.62,quiet_start,333,-51.58,volatile_climb,2020-01-22,1.9233,1105.89,30.0,12
AMC,2020-09-10,2021-06-02,953.03,Communication Services,6,122.0,8.0,rising,5.52,0.7,-5.41,0.32,quiet_start,265,-72.36,volatile_climb,2020-08-13,53.1,1077.97,28.0,13
HUT,2020-08-05,2021-02-22,944.22,Financial Services,6,110.0,86.0,rising,39.35,1.4,-1.49,7.45,quiet_start,201,-45.54,volatile_climb,,,,,0
W,2020-03-12,2020-08-26,937.58,Consumer Cyclical,6,133.0,10.0,dropping,-6.26,2.27,-21.07,-7.11,quiet_start,167,-39.69,volatile_climb,2020-03-16,30.46,1024.1,-4.0,3
CVNA,2023-05-11,2024-05-06,928.18,Consumer Cyclical,12,119.0,2.0,flat,4.83,1.02,-7.93,-1.22,quiet_start,361,-53.47,volatile_climb,2023-05-08,2.26,988.23,3.0,7
AEHR,2021-03-11,2021-11-05,908.63,Technology,10,98.0,15.0,rising,72.28,0.25,2.82,1.22,gradual_push,239,-34.87,volatile_climb,2021-02-25,2.9,786.9,14.0,4
ASTS,2023-08-21,2024-08-19,889.74,Technology,6,118.0,6.0,dropping,-14.12,0.6,0.78,0.52,quiet_start,364,-68.4,volatile_climb,2023-08-16,3.63,963.36,5.0,12
PR,2020-03-12,2021-03-12,834.96,Energy,4,6.0,1.0,dropping,-28.1,1.98,39.46,-10.37,gradual_push,365,-76.0,volatile_climb,2020-03-09,0.4896,926.79,3.0,6
MSTR,2020-08-12,2021-02-09,828.88,Technology,4,105.0,1.0,flat,-1.63,2.36,1.5,0.1,quiet_start,181,-18.45,volatile_climb,2020-08-12,13.704,828.88,0.0,14
RIOT,2020-11-30,2021-02-17,821.89,Financial Services,10,126.0,6.0,rising,26.77,3.97,19.18,13.44,explosive_gap,79,-37.96,volatile_climb,2020-11-23,7.23,977.46,7.0,9
APLD,2022-06-17,2023-06-06,797.22,Technology,5,65.0,2.0,unknown,0.0,1.27,4.85,0.0,gradual_push,354,-45.16,volatile_climb,2022-06-14,1.03,840.78,3.0,16
IONQ,2024-10-09,2025-10-13,760.48,Technology,5,103.0,7.0,flat,4.37,1.22,-0.52,0.42,quiet_start,369,-64.23,volatile_climb,2024-09-30,8.74,839.24,9.0,10
MARA,2022-12-23,2023-12-27,758.29,Financial Services,0,,,dropping,-49.05,0.5,-1.9,0.54,quiet_start,369,-62.18,volatile_climb,,,,,0
MSTR,2020-02-12,2021-02-09,749.53,Technology,2,71.0,14.0,flat,-1.05,0.89,-1.71,0.22,quiet_start,363,-38.51,volatile_climb,2020-01-30,15.27,733.62,13.0,5
PENN,2020-03-12,2021-03-11,748.8,Consumer Cyclical,14,43.0,1.0,rising,38.12,2.99,-8.15,-15.19,quiet_start,364,-70.78,volatile_climb,2020-03-12,15.43,748.8,0.0,15
TSLA,2020-01-15,2021-01-08,748.62,Consumer Cyclical,6,83.0,1.0,rising,68.27,1.75,-2.13,-1.52,quiet_start,359,-60.63,volatile_climb,2020-01-09,32.0893,814.14,6.0,14
LUNR,2022-02-22,2023-02-22,745.26,Industrials,5,95.0,18.0,flat,-0.23,0.0,0.0,0.0,quiet_start,365,-15.37,minor_pullbacks,2022-02-07,9.62,752.29,15.0,10
VKTX,2022-10-11,2023-06-08,743.2,Healthcare,4,109.0,69.0,rising,8.64,0.63,5.0,-1.06,gradual_push,240,-25.19,volatile_climb,,,,,0
LUNR,2022-08-23,2023-02-22,742.65,Industrials,7,124.0,6.0,flat,0.54,0.0,0.0,0.0,quiet_start,183,-15.37,minor_pullbacks,2022-08-18,9.74,741.79,5.0,23
FCEL,2019-06-11,2020-06-10,742.5,Industrials,12,48.0,1.0,dropping,-73.3,2.93,-13.04,4.55,quiet_start,365,-70.0,volatile_climb,2019-06-10,13.2,665.91,1.0,8
FCEL,2020-06-10,2021-02-09,729.67,Industrials,5,121.0,44.0,rising,9.78,4.13,26.22,2.3,strong_breakout,244,-43.92,volatile_climb,2020-07-06,86.1,874.22,-26.0,8
CVNA,2023-11-09,2024-11-11,721.48,Consumer Cyclical,8,122.0,111.0,dropping,-18.36,0.57,-11.51,1.21,quiet_start,368,-31.44,volatile_climb,,,,,0
BTBT,2019-08-07,2020-08-06,720.77,Financial Services,18,56.0,7.0,dropping,-67.93,1.36,-12.59,2.4,quiet_start,365,-69.02,volatile_climb,2019-08-06,0.667,634.63,1.0,19
PINS,2020-03-18,2021-02-16,716.39,Communication Services,7,64.0,19.0,rising,5.54,1.08,-5.45,-8.7,quiet_start,335,-22.49,volatile_climb,,,,,0
ZG,2020-03-19,2021-02-16,715.16,Communication Services,9,132.0,1.0,rising,22.76,2.4,7.34,-0.94,strong_breakout,334,-24.73,volatile_climb,2020-03-16,27.95,629.12,3.0,5
NVAX,2020-05-12,2021-02-08,703.44,Healthcare,10,112.0,1.0,rising,192.43,9.39,2.05,59.27,explosive_gap,272,-55.89,volatile_climb,2020-05-12,39.82,703.44,0.0,9
DDS,2020-12-11,2021-11-23,700.82,Consumer Cyclical,5,119.0,59.0,rising,64.25,0.42,0.25,-1.85,quiet_start,347,-25.79,volatile_climb,,,,,0
MRNA,2020-01-23,2020-12-08,691.15,Healthcare,9,128.0,1.0,rising,21.83,1.57,-3.16,0.91,quiet_start,320,-42.71,volatile_climb,2019-12-23,19.7,762.23,31.0,28
RGTI,2024-12-13,2025-10-15,686.87,Technology,13,21.0,1.0,rising,196.62,4.48,12.93,6.2,explosive_gap,306,-69.75,volatile_climb,2024-12-10,6.49,768.1,3.0,4
AEHR,2020-09-09,2021-09-09,675.36,Technology,9,99.0,35.0,rising,15.57,12.62,-25.0,1.66,quiet_start,365,-41.54,volatile_climb,2020-09-10,1.35,692.59,-1.0,26
BITF,2020-01-13,2021-01-12,673.5,Financial Services,12,122.0,3.0,dropping,-42.23,3.85,-0.0,3.12,quiet_start,365,-68.97,volatile_climb,2019-12-11,0.4281,682.55,33.0,28
Z,2020-03-19,2021-02-16,659.5,Communication Services,8,132.0,1.0,rising,21.88,1.55,4.65,0.56,gradual_push,334,-26.12,volatile_climb,2020-03-16,28.67,597.24,3.0,5
CVNA,2022-11-08,2023-09-14,658.97,Consumer Cyclical,3,95.0,1.0,dropping,-43.07,3.36,-0.94,0.54,quiet_start,310,-68.69,volatile_climb,2022-11-07,1.478,655.89,1.0,10
PLTR,2024-08-05,2025-08-07,656.33,Technology,2,91.0,90.0,rising,19.05,2.07,10.81,-12.13,strong_breakout,367,-40.61,volatile_climb,2024-08-06,26.59,585.22,-1.0,2
RGTI,2023-12-13,2024-12-11,651.53,Technology,5,127.0,119.0,dropping,-45.48,0.56,-1.8,0.4,quiet_start,364,-68.87,volatile_climb,,,,,0
SMMT,2020-02-12,2021-02-08,646.0,Healthcare,9,124.0,1.0,dropping,-9.82,2.35,-9.09,4.43,quiet_start,362,-32.5,volatile_climb,2020-01-30,1.45,671.72,13.0,26
CAR,2020-03-19,2021-03-15,644.21,Industrials,10,28.0,1.0,flat,2.4,6.12,24.26,0.13,strong_breakout,361,-40.93,volatile_climb,2020-03-19,9.197,644.21,0.0,3
CROX,2020-03-19,2021-03-15,637.39,Consumer Cyclical,6,125.0,1.0,dropping,-17.78,2.31,5.89,0.0,strong_breakout,361,-21.08,volatile_climb,2020-03-18,10.86,680.85,1.0,4
NIO,2019-08-28,2020-08-26,619.72,Consumer Cyclical,5,92.0,48.0,dropping,-27.46,0.37,-2.07,-0.34,quiet_start,364,-60.24,volatile_climb,,,,,0
BE,2020-04-13,2021-02-08,618.01,Industrials,3,60.0,27.0,dropping,-9.9,0.64,-3.57,0.33,quiet_start,301,-44.85,volatile_climb,2020-03-24,5.62,658.9,20.0,1
HIMS,2024-02-20,2025-02-19,615.3,Healthcare,4,106.0,49.0,rising,38.43,1.3,-2.93,-1.3,quiet_start,365,-44.94,volatile_climb,,,,,0
MRNA,2020-08-13,2021-08-09,614.24,Healthcare,9,87.0,1.0,rising,49.81,0.63,-1.82,-0.62,quiet_start,361,-38.5,volatile_climb,2020-07-14,75.04,545.62,30.0,8
BTBT,2020-08-13,2021-01-04,613.9,Financial Services,10,118.0,16.0,rising,74.65,0.33,-5.96,0.0,quiet_start,144,-37.42,volatile_climb,,,,,0
AR,2020-02-27,2021-02-17,613.87,Energy,1,80.0,80.0,dropping,-23.48,1.49,-2.84,-7.84,quiet_start,356,-58.12,volatile_climb,2020-03-10,1.18,728.81,-12.0,4
SOUN,2023-12-07,2024-12-09,613.74,Technology,4,120.0,71.0,dropping,-14.17,0.64,1.44,-0.48,quiet_start,368,-60.16,volatile_climb,,,,,0
QBTS,2023-12-14,2024-12-16,608.82,Technology,7,128.0,97.0,dropping,-28.57,1.2,5.05,1.15,gradual_push,368,-65.96,volatile_climb,,,,,0
ENPH,2019-01-02,2019-08-21,607.93,Technology,5,125.0,12.0,rising,15.45,0.37,6.26,-2.11,gradual_push,231,-13.35,minor_pullbacks,2018-12-24,4.64,650.65,9.0,5
ETSY,2020-03-19,2021-03-01,605.65,Consumer Cyclical,4,105.0,8.0,rising,24.99,2.59,-8.19,-3.82,quiet_start,347,-22.04,volatile_climb,2020-03-18,39.25,523.13,1.0,4
APP,2023-11-13,2024-11-08,600.34,Communication Services,7,95.0,3.0,rising,25.09,1.24,-5.13,-0.32,quiet_start,361,-23.64,volatile_climb,2023-11-10,43.79,562.27,3.0,6
CVNA,2020-03-12,2021-03-02,597.63,Consumer Cyclical,9,126.0,2.0,flat,0.21,2.34,-10.67,-10.73,quiet_start,355,-42.36,volatile_climb,2020-03-12,9.026,597.63,0.0,9
RKLB,2024-06-20,2025-06-24,597.08,Industrials,5,129.0,2.0,flat,-1.58,1.61,-2.74,0.51,quiet_start,369,-48.15,volatile_climb,2024-05-14,4.56,633.77,37.0,13
XYZ,2020-03-19,2021-02-19,591.43,Technology,7,133.0,1.0,rising,10.74,2.6,-0.45,1.72,quiet_start,337,-21.97,volatile_climb,2020-03-16,41.27,570.15,3.0,7
NVAX,2019-05-13,2020-05-12,591.32,Healthcare,9,74.0,3.0,dropping,-76.32,1.57,-9.86,-2.74,quiet_start,365,-56.81,volatile_climb,2019-05-13,5.76,591.32,0.0,8
CLSK,2020-01-07,2021-01-06,590.2,Financial Services,15,90.0,7.0,dropping,-32.05,0.62,0.0,-1.35,quiet_start,365,-80.19,volatile_climb,2019-12-17,5.85,501.71,21.0,22
AMC,2020-03-12,2021-01-27,583.85,Communication Services,3,115.0,13.0,dropping,-26.18,2.33,8.58,-26.37,strong_breakout,321,-71.88,volatile_climb,2020-03-13,32.2,518.01,-1.0,17
BITF,2022-12-21,2023-12-22,583.12,Financial Services,2,128.0,127.0,dropping,-56.38,0.5,-2.73,-0.02,quiet_start,366,-54.7,volatile_climb,,,,,0
BE,2019-10-10,2020-10-09,580.12,Industrials,5,104.0,22.0,dropping,-67.65,1.71,9.77,0.0,gradual_push,365,-78.21,volatile_climb,2019-09-18,3.34,586.23,22.0,6
VKTX,2022-04-11,2023-04-13,579.56,Healthcare,3,77.0,24.0,dropping,-33.51,0.86,-5.52,0.0,quiet_start,367,-34.45,volatile_climb,2022-03-25,3.14,492.99,17.0,1
DDS,2020-06-15,2021-06-09,577.37,Consumer Cyclical,5,54.0,7.0,dropping,-47.8,3.24,-2.32,-7.86,quiet_start,359,-25.79,volatile_climb,2020-05-18,20.2594,588.12,28.0,17
SNAP,2020-03-12,2021-02-23,576.1,Communication Services,3,63.0,36.0,rising,8.17,1.57,3.48,-6.85,gradual_push,348,-26.26,volatile_climb,2020-03-19,9.47,643.93,-7.0,6
BBAI,2024-04-19,2025-02-13,574.48,Technology,13,52.0,32.0,rising,9.15,0.46,-4.61,-0.65,quiet_start,300,-38.05,volatile_climb,,,,,0
RH,2020-04-02,2021-03-30,573.33,Consumer Cyclical,5,119.0,2.0,dropping,-33.55,1.37,0.97,-0.43,quiet_start,362,-14.93,volatile_climb,2020-03-31,100.47,497.19,2.0,4
HOOD,2024-08-07,2025-08-08,569.57,Financial Services,6,90.0,2.0,rising,22.1,2.0,-2.73,2.27,quiet_start,366,-47.66,volatile_climb,2024-08-06,17.21,566.07,1.0,8
RDW,2024-01-17,2025-01-03,567.53,Industrials,7,126.0,43.0,flat,-2.72,0.71,-1.45,-1.08,quiet_start,352,-36.22,volatile_climb,2023-12-08,2.99,505.02,40.0,13
FUTU,2020-01-14,2021-01-12,566.89,Financial Services,9,125.0,1.0,dropping,-9.41,0.97,0.66,-0.09,quiet_start,364,-37.81,volatile_climb,2019-12-26,9.5577,613.18,19.0,28
GME,2020-01-14,2021-01-13,566.67,Consumer Cyclical,8,127.0,34.0,rising,17.72,2.21,-1.46,-11.97,quiet_start,365,-41.05,volatile_climb,2020-01-15,1.1525,581.13,-1.0,5
LUNR,2023-12-22,2024-12-24,566.0,Industrials,10,128.0,1.0,dropping,-34.33,2.63,-3.1,0.78,quiet_start,368,-69.97,volatile_climb,2023-12-19,2.74,507.66,3.0,25
FCX,2020-03-19,2021-02-22,563.41,Basic Materials,3,56.0,20.0,dropping,-12.14,1.5,11.03,-2.64,gradual_push,340,-19.38,volatile_climb,,,,,0
LUNR,2024-06-26,2025-01-24,562.93,Industrials,9,132.0,119.0,dropping,-27.58,0.31,-0.85,-1.68,quiet_start,212,-28.69,volatile_climb,,,,,0
MARA,2020-12-21,2021-11-09,561.65,Financial Services,11,61.0,3.0,rising,98.21,3.1,26.23,-2.15,strong_breakout,323,-65.24,volatile_climb,2020-12-21,11.5,561.65,0.0,8
MTDR,2020-10-29,2021-10-26,561.03,Energy,3,126.0,1.0,flat,-0.9,1.55,3.13,-3.74,gradual_push,362,-30.82,volatile_climb,2020-10-29,6.382,561.03,0.0,6
CLSK,2022-12-30,2023-12-27,558.33,Financial Services,3,66.0,15.0,dropping,-46.06,0.62,7.94,-3.08,gradual_push,362,-53.55,volatile_climb,2022-12-16,1.89,610.58,14.0,5
BILL,2020-03-18,2021-02-10,557.31,Technology,3,97.0,40.0,rising,34.12,1.85,-10.51,-2.97,quiet_start,329,-26.91,volatile_climb,2020-04-01,31.75,504.72,-14.0,3
MSTR,2023-10-12,2024-10-11,556.95,Technology,8,128.0,44.0,flat,-2.2,0.61,-3.4,0.12,quiet_start,365,-46.42,volatile_climb,,,,,0
MRNA,2019-07-24,2020-07-17,555.49,Healthcare,7,131.0,35.0,dropping,-35.55,0.97,5.24,1.1,gradual_push,359,-34.77,volatile_climb,2019-06-18,15.74,502.6,36.0,21
CZR,2020-03-12,2021-03-11,550.84,Consumer Cyclical,12,16.0,1.0,rising,6.72,5.35,-28.84,-12.17,quiet_start,364,-61.03,volatile_climb,2020-03-12,15.48,550.84,0.0,18
HUT,2020-02-05,2021-01-08,549.39,Financial Services,10,128.0,1.0,dropping,-32.0,2.41,21.63,0.5,strong_breakout,338,-74.3,volatile_climb,2020-01-09,5.24,509.73,27.0,19
BNTX,2020-08-12,2021-08-09,547.13,Healthcare,8,112.0,19.0,rising,67.76,1.23,-2.51,3.56,quiet_start,362,-37.07,volatile_climb,2020-07-08,66.6768,561.97,35.0,9
LC,2020-09-09,2021-09-07,544.49,Financial Services,5,121.0,36.0,flat,-4.73,0.83,-1.96,0.59,quiet_start,363,-44.29,volatile_climb,2020-08-05,5.5,484.73,35.0,3
DKNG,2019-10-04,2020-10-02,542.94,Consumer Cyclical,11,58.0,1.0,unknown,0.0,0.02,0.0,0.3,quiet_start,364,-40.24,volatile_climb,2019-08-29,9.85,547.51,36.0,35
FUTU,2020-07-15,2021-02-16,541.59,Financial Services,15,62.0,1.0,rising,130.7,1.31,-2.17,2.91,quiet_start,216,-31.71,volatile_climb,2020-07-02,25.6347,616.43,13.0,29
IONQ,2024-04-10,2025-01-06,538.37,Technology,3,118.0,33.0,dropping,-25.74,0.93,0.0,-4.76,quiet_start,271,-29.2,volatile_climb,2024-03-14,9.2,455.11,27.0,1
SMCI,2023-01-23,2024-01-24,537.55,Technology,7,82.0,4.0,rising,42.19,1.12,1.08,1.36,quiet_start,366,-34.46,volatile_climb,2022-12-21,8.387,460.62,33.0,21
IONQ,2022-12-28,2023-08-01,536.54,Technology,2,89.0,43.0,dropping,-19.92,1.19,0.0,0.65,quiet_start,216,-24.89,volatile_climb,,,,,0
APLD,2022-12-16,2023-07-25,536.02,Technology,6,128.0,1.0,flat,-2.63,10.45,-0.62,0.62,quiet_start,221,-45.16,volatile_climb,2022-12-16,1.61,536.02,0.0,4
ROKU,2020-03-19,2021-02-16,533.7,Communication Services,4,133.0,34.0,dropping,-24.21,0.84,6.69,2.92,gradual_push,334,-25.14,volatile_climb,,,,,0
PLUG,2020-09-03,2021-01-26,533.59,Industrials,8,72.0,15.0,rising,156.79,1.41,-10.33,-1.98,quiet_start,145,-24.04,volatile_climb,2020-08-07,11.28,548.76,27.0,12
QBTS,2023-05-03,2023-07-19,532.61,Technology,9,110.0,19.0,dropping,-57.27,0.25,-2.13,5.62,quiet_start,77,-30.4,volatile_climb,2023-04-14,0.5,482.0,19.0,2
BE,2024-09-11,2025-09-11,532.42,Industrials,6,113.0,56.0,dropping,-18.98,0.81,2.9,1.87,gradual_push,365,-45.25,volatile_climb,,,,,0
RGTI,2023-03-20,2023-08-01,532.3,Technology,7,131.0,38.0,dropping,-25.67,0.63,2.8,0.2,gradual_push,134,-48.13,volatile_climb,,,,,0
RUN,2020-01-14,2021-01-08,531.96,Technology,3,110.0,61.0,dropping,-14.1,1.07,1.13,-0.92,quiet_start,360,-64.27,volatile_climb,2020-01-21,17.37,455.56,-7.0,7
ZM,2019-09-25,2020-09-23,528.81,Technology,7,110.0,16.0,flat,-1.0,0.84,0.61,-1.12,quiet_start,364,-28.71,volatile_climb,2019-09-06,85.41,486.03,19.0,11
SMCI,2022-06-23,2023-06-09,528.24,Technology,5,65.0,21.0,rising,22.43,1.29,-4.12,0.14,quiet_start,351,-29.88,volatile_climb,2022-06-27,4.328,504.57,-4.0,10
VRT,2023-03-27,2024-03-26,527.32,Industrials,2,33.0,32.0,rising,9.38,0.87,-0.83,1.6,quiet_start,365,-16.62,volatile_climb,2023-04-26,13.5437,508.86,-30.0,7
QXO,2020-06-29,2021-06-28,524.39,Industrials,6,20.0,6.0,dropping,-17.53,0.37,3.9,2.5,gradual_push,364,-57.78,volatile_climb,2020-06-10,11.4519,524.39,19.0,17
PLUG,2019-08-21,2020-08-20,521.36,Industrials,4,105.0,57.0,dropping,-11.31,0.36,-0.9,0.45,quiet_start,365,-51.75,volatile_climb,,,,,0
AA,2020-05-15,2021-05-11,520.42,Basic Materials,2,120.0,22.0,dropping,-55.84,0.78,-0.6,-1.62,quiet_start,361,-28.66,volatile_climb,2020-04-24,6.8184,477.9,21.0,2
BBWI,2020-04-02,2021-03-30,519.41,Consumer Cyclical,4,133.0,16.0,flat,-4.15,1.56,1.0,-1.76,quiet_start,362,-31.75,volatile_climb,2020-03-18,7.0893,542.19,15.0,7
QBTS,2024-12-16,2025-10-15,519.36,Technology,14,32.0,3.0,rising,167.22,10.84,41.76,2.0,strong_breakout,303,-62.49,volatile_climb,2024-12-16,7.23,519.36,0.0,7
PDD,2020-03-12,2021-02-17,518.17,Consumer Cyclical,6,113.0,1.0,dropping,-7.67,1.84,-3.22,-3.31,quiet_start,342,-26.74,volatile_climb,2020-02-25,32.8,518.35,16.0,10
SOUN,2024-06-25,2024-12-26,518.11,Technology,11,131.0,96.0,dropping,-19.25,0.17,-0.25,-1.26,quiet_start,184,-31.94,volatile_climb,,,,,0
SE,2019-10-10,2020-10-09,518.03,Consumer Cyclical,3,111.0,2.0,dropping,-5.53,1.48,-2.07,-0.63,quiet_start,365,-27.7,volatile_climb,2019-10-09,28.62,501.4,1.0,5
AEHR,2022-07-05,2023-07-03,517.02,Technology,5,119.0,88.0,dropping,-27.22,0.49,4.98,-1.59,gradual_push,363,-39.77,volatile_climb,,,,,0
ENPH,2019-11-01,2020-10-20,516.78,Technology,5,93.0,2.0,rising,10.37,1.31,-3.09,0.0,quiet_start,354,-59.4,volatile_climb,2019-10-30,18.76,519.08,2.0,9
BBAI,2024-10-25,2025-02-13,515.09,Technology,7,74.0,10.0,rising,8.38,0.55,-4.22,1.84,quiet_start,111,-38.05,volatile_climb,2024-10-15,1.76,455.68,10.0,14
AR,2020-09-10,2021-09-03,514.34,Energy,5,83.0,22.0,rising,10.45,0.8,-3.99,0.0,quiet_start,358,-25.23,volatile_climb,,,,,0
PSKY,2020-03-12,2021-03-12,514.07,Communication Services,9,99.0,7.0,dropping,-24.18,2.34,-11.22,-8.18,quiet_start,365,-31.22,volatile_climb,2020-03-12,13.7138,514.07,0.0,13
CRWD,2020-03-13,2021-02-16,512.95,Technology,5,95.0,66.0,rising,12.89,1.09,-0.88,5.5,quiet_start,340,-19.18,volatile_climb,,,,,0
BILI,2020-02-05,2021-02-04,512.94,Communication Services,11,78.0,2.0,rising,45.45,1.6,-3.49,2.21,quiet_start,365,-29.63,volatile_climb,2020-01-03,22.08,545.7,33.0,32
MSTR,2023-03-08,2024-03-08,512.58,Technology,4,120.0,117.0,rising,27.01,0.74,1.01,-0.45,quiet_start,366,-34.29,volatile_climb,2023-03-13,22.316,538.82,-5.0,8
MP,2024-08-02,2025-08-05,512.26,Basic Materials,4,116.0,42.0,dropping,-12.05,2.7,-9.33,-2.84,quiet_start,368,-32.5,volatile_climb,2024-06-28,12.73,437.23,35.0,7
VKTX,2023-07-03,2024-02-28,512.05,Healthcare,7,108.0,6.0,rising,79.47,0.35,-3.92,-0.86,quiet_start,240,-42.25,volatile_climb,2023-06-27,14.835,537.01,6.0,6
BTBT,2022-12-09,2023-07-03,512.0,Financial Services,11,127.0,18.0,dropping,-37.82,0.3,-2.47,1.85,quiet_start,206,-40.83,volatile_climb,2022-11-29,0.86,433.72,10.0,1
AMC,2021-03-26,2021-06-02,510.84,Communication Services,14,66.0,11.0,rising,171.46,0.67,-9.14,3.02,quiet_start,68,-21.74,volatile_climb,2021-02-24,90.9,588.12,30.0,5
QXO,2022-12-29,2023-12-29,510.53,Industrials,9,127.0,85.0,rising,11.72,0.36,10.49,-2.55,gradual_push,365,-33.55,volatile_climb,,,,,0
